,aic,ar,ma,seasonal_ar,integration,seasonal_ma,warning
126,6700.048316304297,2,1,1,1,0,0
127,6520.341216174089,2,1,1,1,1,0
128,6769.331209685047,2,2,0,0,0,0
129,6530.357073642292,2,2,0,0,1,0
130,6763.555912002013,2,2,0,1,0,0
131,6526.411295141694,2,2,0,1,1,0
132,6704.252407417967,2,2,1,0,0,0
133,6532.150486777511,2,2,1,0,1,0
134,6697.657609458311,2,2,1,1,0,0
135,6519.14179569313,2,2,1,1,1,0
136,6768.8820552515135,2,3,0,0,0,0
137,1000000.0,2,3,0,0,1,1
138,6757.5643145707,2,3,0,1,0,0
139,6520.093345083613,2,3,0,1,1,0
140,6702.759780400647,2,3,1,0,0,0
141,1000000.0,2,3,1,0,1,1
142,6694.809123255665,2,3,1,1,0,0
143,6521.986839617193,2,3,1,1,1,0
144,6761.0346739302295,2,4,0,0,0,0
145,1000000.0,2,4,0,0,1,1
146,1000000.0,2,4,0,1,0,1
147,1000000.0,2,4,0,1,1,1
148,6697.809498936992,2,4,1,0,0,0
149,1000000.0,2,4,1,0,1,1
150,6696.189245148153,2,4,1,1,0,0
151,1000000.0,2,4,1,1,1,1
152,6765.475680832898,2,5,0,0,0,0
153,1000000.0,2,5,0,0,1,1
154,1000000.0,2,5,0,1,0,1
155,1000000.0,2,5,0,1,1,1
156,6695.873728002563,2,5,1,0,0,0
157,1000000.0,2,5,1,0,1,1
158,1000000.0,2,5,1,1,0,1
159,1000000.0,2,5,1,1,1,1
160,6764.453501253826,2,6,0,0,0,0
161,1000000.0,2,6,0,0,1,1
162,1000000.0,2,6,0,1,0,1
163,1000000.0,2,6,0,1,1,1
164,6694.40526673846,2,6,1,0,0,0
165,1000000.0,2,6,1,0,1,1
166,6686.4787924655175,2,6,1,1,0,0
167,1000000.0,2,6,1,1,1,1
168,6766.915217039379,3,0,0,0,0,0
169,1000000.0,3,0,0,0,1,1
170,6778.508588381879,3,0,0,1,0,0
171,6529.529225186057,3,0,0,1,1,0
172,6700.647169959704,3,0,1,0,0,0
173,1000000.0,3,0,1,0,1,1
174,6708.789845742019,3,0,1,1,0,0
175,6531.305447485271,3,0,1,1,1,0
176,6767.746886823599,3,1,0,0,0,0
177,1000000.0,3,1,0,0,1,1
178,6758.136118225395,3,1,0,1,0,0
179,6537.193053358877,3,1,0,1,1,0
180,6701.814429815118,3,1,1,0,0,0
181,6534.05012023184,3,1,1,0,1,0
182,6710.63130199369,3,1,1,1,0,0
183,6539.0545751037935,3,1,1,1,1,0
184,1000000.0,3,2,0,0,0,1
185,1000000.0,3,2,0,0,1,1
186,1000000.0,3,2,0,1,0,1
187,1000000.0,3,2,0,1,1,1
188,1000000.0,3,2,1,0,0,1
189,1000000.0,3,2,1,0,1,1
190,1000000.0,3,2,1,1,0,1
191,1000000.0,3,2,1,1,1,1
192,1000000.0,3,3,0,0,0,1
193,1000000.0,3,3,0,0,1,1
194,1000000.0,3,3,0,1,0,1
195,1000000.0,3,3,0,1,1,1
196,1000000.0,3,3,1,0,0,1
197,1000000.0,3,3,1,0,1,1
198,1000000.0,3,3,1,1,0,1
199,1000000.0,3,3,1,1,1,1
