,Date,Hour,Count
2014-04-06 11:00:00,2014-04-06,11,563
2014-04-06 12:00:00,2014-04-06,12,594
2014-04-06 13:00:00,2014-04-06,13,677
2014-04-06 14:00:00,2014-04-06,14,698
2014-04-06 15:00:00,2014-04-06,15,847
2014-04-06 16:00:00,2014-04-06,16,806
2014-04-06 17:00:00,2014-04-06,17,799
2014-04-06 18:00:00,2014-04-06,18,767
2014-04-06 19:00:00,2014-04-06,19,641
2014-04-06 20:00:00,2014-04-06,20,516
2014-04-06 21:00:00,2014-04-06,21,571
2014-04-06 22:00:00,2014-04-06,22,390
2014-04-06 23:00:00,2014-04-06,23,256
2014-04-07 00:00:00,2014-04-07,0,102
2014-04-07 01:00:00,2014-04-07,1,63
2014-04-07 02:00:00,2014-04-07,2,57
2014-04-07 03:00:00,2014-04-07,3,154
2014-04-07 04:00:00,2014-04-07,4,271
2014-04-07 05:00:00,2014-04-07,5,388
2014-04-07 06:00:00,2014-04-07,6,842
2014-04-07 07:00:00,2014-04-07,7,1057
2014-04-07 08:00:00,2014-04-07,8,836
2014-04-07 09:00:00,2014-04-07,9,585
2014-04-07 10:00:00,2014-04-07,10,509
2014-04-07 11:00:00,2014-04-07,11,485
2014-04-07 12:00:00,2014-04-07,12,463
2014-04-07 13:00:00,2014-04-07,13,578
2014-04-07 14:00:00,2014-04-07,14,861
2014-04-07 15:00:00,2014-04-07,15,1061
2014-04-07 16:00:00,2014-04-07,16,1756
2014-04-07 17:00:00,2014-04-07,17,2191
2014-04-07 18:00:00,2014-04-07,18,2137
2014-04-07 19:00:00,2014-04-07,19,2035
2014-04-07 20:00:00,2014-04-07,20,1176
2014-04-07 21:00:00,2014-04-07,21,1059
2014-04-07 22:00:00,2014-04-07,22,646
2014-04-07 23:00:00,2014-04-07,23,238
2014-04-08 00:00:00,2014-04-08,0,187
2014-04-08 01:00:00,2014-04-08,1,72
2014-04-08 02:00:00,2014-04-08,2,63
2014-04-08 03:00:00,2014-04-08,3,119
2014-04-08 04:00:00,2014-04-08,4,184
2014-04-08 05:00:00,2014-04-08,5,427
2014-04-08 06:00:00,2014-04-08,6,889
2014-04-08 07:00:00,2014-04-08,7,1159
2014-04-08 08:00:00,2014-04-08,8,1069
2014-04-08 09:00:00,2014-04-08,9,611
2014-04-08 10:00:00,2014-04-08,10,507
2014-04-08 11:00:00,2014-04-08,11,548
2014-04-08 12:00:00,2014-04-08,12,518
2014-04-08 13:00:00,2014-04-08,13,584
2014-04-08 14:00:00,2014-04-08,14,716
2014-04-08 15:00:00,2014-04-08,15,996
2014-04-08 16:00:00,2014-04-08,16,1206
2014-04-08 17:00:00,2014-04-08,17,1386
2014-04-08 18:00:00,2014-04-08,18,1062
2014-04-08 19:00:00,2014-04-08,19,929
2014-04-08 20:00:00,2014-04-08,20,1127
2014-04-08 21:00:00,2014-04-08,21,944
2014-04-08 22:00:00,2014-04-08,22,587
2014-04-08 23:00:00,2014-04-08,23,298
2014-04-09 00:00:00,2014-04-09,0,154
2014-04-09 01:00:00,2014-04-09,1,106
2014-04-09 02:00:00,2014-04-09,2,76
2014-04-09 03:00:00,2014-04-09,3,139
2014-04-09 04:00:00,2014-04-09,4,194
2014-04-09 05:00:00,2014-04-09,5,353
2014-04-09 06:00:00,2014-04-09,6,821
2014-04-09 07:00:00,2014-04-09,7,1050
2014-04-09 08:00:00,2014-04-09,8,858
2014-04-09 09:00:00,2014-04-09,9,565
2014-04-09 10:00:00,2014-04-09,10,533
2014-04-09 11:00:00,2014-04-09,11,552
2014-04-09 12:00:00,2014-04-09,12,590
2014-04-09 13:00:00,2014-04-09,13,683
2014-04-09 14:00:00,2014-04-09,14,849
2014-04-09 15:00:00,2014-04-09,15,1120
2014-04-09 16:00:00,2014-04-09,16,1276
2014-04-09 17:00:00,2014-04-09,17,1492
2014-04-09 18:00:00,2014-04-09,18,1218
2014-04-09 19:00:00,2014-04-09,19,1152
2014-04-09 20:00:00,2014-04-09,20,995
2014-04-09 21:00:00,2014-04-09,21,988
2014-04-09 22:00:00,2014-04-09,22,717
2014-04-09 23:00:00,2014-04-09,23,362
2014-04-10 00:00:00,2014-04-10,0,176
2014-04-10 01:00:00,2014-04-10,1,106
2014-04-10 02:00:00,2014-04-10,2,72
2014-04-10 03:00:00,2014-04-10,3,154
2014-04-10 04:00:00,2014-04-10,4,223
2014-04-10 05:00:00,2014-04-10,5,360
2014-04-10 06:00:00,2014-04-10,6,833
2014-04-10 07:00:00,2014-04-10,7,971
2014-04-10 08:00:00,2014-04-10,8,834
2014-04-10 09:00:00,2014-04-10,9,654
2014-04-10 10:00:00,2014-04-10,10,561
2014-04-10 11:00:00,2014-04-10,11,627
2014-04-10 12:00:00,2014-04-10,12,623
2014-04-10 13:00:00,2014-04-10,13,822
2014-04-10 14:00:00,2014-04-10,14,1056
2014-04-10 15:00:00,2014-04-10,15,1333
2014-04-10 16:00:00,2014-04-10,16,1553
2014-04-10 17:00:00,2014-04-10,17,1757
2014-04-10 18:00:00,2014-04-10,18,1535
2014-04-10 19:00:00,2014-04-10,19,1312
2014-04-10 20:00:00,2014-04-10,20,1461
2014-04-10 21:00:00,2014-04-10,21,1477
2014-04-10 22:00:00,2014-04-10,22,969
2014-04-10 23:00:00,2014-04-10,23,572
2014-04-11 00:00:00,2014-04-11,0,250
2014-04-11 01:00:00,2014-04-11,1,161
2014-04-11 02:00:00,2014-04-11,2,109
2014-04-11 03:00:00,2014-04-11,3,197
2014-04-11 04:00:00,2014-04-11,4,228
2014-04-11 05:00:00,2014-04-11,5,337
2014-04-11 06:00:00,2014-04-11,6,800
2014-04-11 07:00:00,2014-04-11,7,1041
2014-04-11 08:00:00,2014-04-11,8,926
2014-04-11 09:00:00,2014-04-11,9,606
2014-04-11 10:00:00,2014-04-11,10,631
2014-04-11 11:00:00,2014-04-11,11,664
2014-04-11 12:00:00,2014-04-11,12,702
2014-04-11 13:00:00,2014-04-11,13,880
2014-04-11 14:00:00,2014-04-11,14,893
2014-04-11 15:00:00,2014-04-11,15,1266
2014-04-11 16:00:00,2014-04-11,16,1432
2014-04-11 17:00:00,2014-04-11,17,1591
2014-04-11 18:00:00,2014-04-11,18,1518
2014-04-11 19:00:00,2014-04-11,19,1357
2014-04-11 20:00:00,2014-04-11,20,1155
2014-04-11 21:00:00,2014-04-11,21,1180
2014-04-11 22:00:00,2014-04-11,22,1382
2014-04-11 23:00:00,2014-04-11,23,1114
2014-04-12 00:00:00,2014-04-12,0,666
2014-04-12 01:00:00,2014-04-12,1,458
2014-04-12 02:00:00,2014-04-12,2,272
2014-04-12 03:00:00,2014-04-12,3,178
2014-04-12 04:00:00,2014-04-12,4,159
2014-04-12 05:00:00,2014-04-12,5,170
2014-04-12 06:00:00,2014-04-12,6,200
2014-04-12 07:00:00,2014-04-12,7,255
2014-04-12 08:00:00,2014-04-12,8,344
2014-04-12 09:00:00,2014-04-12,9,409
2014-04-12 10:00:00,2014-04-12,10,514
2014-04-12 11:00:00,2014-04-12,11,544
2014-04-12 12:00:00,2014-04-12,12,611
2014-04-12 13:00:00,2014-04-12,13,628
2014-04-12 14:00:00,2014-04-12,14,715
2014-04-12 15:00:00,2014-04-12,15,1083
2014-04-12 16:00:00,2014-04-12,16,1292
2014-04-12 17:00:00,2014-04-12,17,1230
2014-04-12 18:00:00,2014-04-12,18,1617
2014-04-12 19:00:00,2014-04-12,19,1271
2014-04-12 20:00:00,2014-04-12,20,1063
2014-04-12 21:00:00,2014-04-12,21,1382
2014-04-12 22:00:00,2014-04-12,22,1648
2014-04-12 23:00:00,2014-04-12,23,1461
2014-04-13 00:00:00,2014-04-13,0,1130
2014-04-13 01:00:00,2014-04-13,1,670
2014-04-13 02:00:00,2014-04-13,2,337
2014-04-13 03:00:00,2014-04-13,3,236
2014-04-13 04:00:00,2014-04-13,4,155
2014-04-13 05:00:00,2014-04-13,5,130
2014-04-13 06:00:00,2014-04-13,6,179
2014-04-13 07:00:00,2014-04-13,7,217
2014-04-13 08:00:00,2014-04-13,8,294
2014-04-13 09:00:00,2014-04-13,9,439
2014-04-13 10:00:00,2014-04-13,10,489
2014-04-13 11:00:00,2014-04-13,11,581
2014-04-13 12:00:00,2014-04-13,12,580
2014-04-13 13:00:00,2014-04-13,13,652
2014-04-13 14:00:00,2014-04-13,14,740
2014-04-13 15:00:00,2014-04-13,15,812
2014-04-13 16:00:00,2014-04-13,16,878
2014-04-13 17:00:00,2014-04-13,17,775
2014-04-13 18:00:00,2014-04-13,18,647
2014-04-13 19:00:00,2014-04-13,19,554
2014-04-13 20:00:00,2014-04-13,20,490
2014-04-13 21:00:00,2014-04-13,21,514
2014-04-13 22:00:00,2014-04-13,22,385
2014-04-13 23:00:00,2014-04-13,23,228
2014-04-14 00:00:00,2014-04-14,0,119
2014-04-14 01:00:00,2014-04-14,1,48
2014-04-14 02:00:00,2014-04-14,2,45
2014-04-14 03:00:00,2014-04-14,3,122
2014-04-14 04:00:00,2014-04-14,4,208
2014-04-14 05:00:00,2014-04-14,5,378
2014-04-14 06:00:00,2014-04-14,6,682
2014-04-14 07:00:00,2014-04-14,7,911
2014-04-14 08:00:00,2014-04-14,8,730
2014-04-14 09:00:00,2014-04-14,9,491
2014-04-14 10:00:00,2014-04-14,10,443
2014-04-14 11:00:00,2014-04-14,11,443
2014-04-14 12:00:00,2014-04-14,12,494
2014-04-14 13:00:00,2014-04-14,13,538
2014-04-14 14:00:00,2014-04-14,14,722
2014-04-14 15:00:00,2014-04-14,15,944
2014-04-14 16:00:00,2014-04-14,16,1030
2014-04-14 17:00:00,2014-04-14,17,965
2014-04-14 18:00:00,2014-04-14,18,721
2014-04-14 19:00:00,2014-04-14,19,643
2014-04-14 20:00:00,2014-04-14,20,677
2014-04-14 21:00:00,2014-04-14,21,620
2014-04-14 22:00:00,2014-04-14,22,443
2014-04-14 23:00:00,2014-04-14,23,257
2014-04-15 00:00:00,2014-04-15,0,137
2014-04-15 01:00:00,2014-04-15,1,71
2014-04-15 02:00:00,2014-04-15,2,61
2014-04-15 03:00:00,2014-04-15,3,104
2014-04-15 04:00:00,2014-04-15,4,141
2014-04-15 05:00:00,2014-04-15,5,277
2014-04-15 06:00:00,2014-04-15,6,564
2014-04-15 07:00:00,2014-04-15,7,992
2014-04-15 08:00:00,2014-04-15,8,921
2014-04-15 09:00:00,2014-04-15,9,663
2014-04-15 10:00:00,2014-04-15,10,727
2014-04-15 11:00:00,2014-04-15,11,741
2014-04-15 12:00:00,2014-04-15,12,688
2014-04-15 13:00:00,2014-04-15,13,798
2014-04-15 14:00:00,2014-04-15,14,881
2014-04-15 15:00:00,2014-04-15,15,1012
2014-04-15 16:00:00,2014-04-15,16,1580
2014-04-15 17:00:00,2014-04-15,17,1767
2014-04-15 18:00:00,2014-04-15,18,1702
2014-04-15 19:00:00,2014-04-15,19,1743
2014-04-15 20:00:00,2014-04-15,20,1802
2014-04-15 21:00:00,2014-04-15,21,1629
2014-04-15 22:00:00,2014-04-15,22,1076
2014-04-15 23:00:00,2014-04-15,23,564
2014-04-16 00:00:00,2014-04-16,0,216
2014-04-16 01:00:00,2014-04-16,1,97
2014-04-16 02:00:00,2014-04-16,2,72
2014-04-16 03:00:00,2014-04-16,3,122
2014-04-16 04:00:00,2014-04-16,4,168
2014-04-16 05:00:00,2014-04-16,5,330
2014-04-16 06:00:00,2014-04-16,6,695
2014-04-16 07:00:00,2014-04-16,7,938
2014-04-16 08:00:00,2014-04-16,8,904
2014-04-16 09:00:00,2014-04-16,9,646
2014-04-16 10:00:00,2014-04-16,10,557
2014-04-16 11:00:00,2014-04-16,11,583
2014-04-16 12:00:00,2014-04-16,12,589
2014-04-16 13:00:00,2014-04-16,13,675
2014-04-16 14:00:00,2014-04-16,14,843
2014-04-16 15:00:00,2014-04-16,15,1127
2014-04-16 16:00:00,2014-04-16,16,1418
2014-04-16 17:00:00,2014-04-16,17,1514
2014-04-16 18:00:00,2014-04-16,18,1310
2014-04-16 19:00:00,2014-04-16,19,1187
2014-04-16 20:00:00,2014-04-16,20,1220
2014-04-16 21:00:00,2014-04-16,21,1238
2014-04-16 22:00:00,2014-04-16,22,778
2014-04-16 23:00:00,2014-04-16,23,490
2014-04-17 00:00:00,2014-04-17,0,227
2014-04-17 01:00:00,2014-04-17,1,108
2014-04-17 02:00:00,2014-04-17,2,101
2014-04-17 03:00:00,2014-04-17,3,131
2014-04-17 04:00:00,2014-04-17,4,210
2014-04-17 05:00:00,2014-04-17,5,347
2014-04-17 06:00:00,2014-04-17,6,766
2014-04-17 07:00:00,2014-04-17,7,1052
2014-04-17 08:00:00,2014-04-17,8,898
2014-04-17 09:00:00,2014-04-17,9,656
2014-04-17 10:00:00,2014-04-17,10,611
2014-04-17 11:00:00,2014-04-17,11,665
2014-04-17 12:00:00,2014-04-17,12,706
2014-04-17 13:00:00,2014-04-17,13,849
2014-04-17 14:00:00,2014-04-17,14,983
2014-04-17 15:00:00,2014-04-17,15,1179
2014-04-17 16:00:00,2014-04-17,16,1478
2014-04-17 17:00:00,2014-04-17,17,1637
2014-04-17 18:00:00,2014-04-17,18,1680
2014-04-17 19:00:00,2014-04-17,19,1541
2014-04-17 20:00:00,2014-04-17,20,1514
2014-04-17 21:00:00,2014-04-17,21,1529
2014-04-17 22:00:00,2014-04-17,22,1331
2014-04-17 23:00:00,2014-04-17,23,774
2014-04-18 00:00:00,2014-04-18,0,438
2014-04-18 01:00:00,2014-04-18,1,222
2014-04-18 02:00:00,2014-04-18,2,148
2014-04-18 03:00:00,2014-04-18,3,208
2014-04-18 04:00:00,2014-04-18,4,228
2014-04-18 05:00:00,2014-04-18,5,292
2014-04-18 06:00:00,2014-04-18,6,401
2014-04-18 07:00:00,2014-04-18,7,646
2014-04-18 08:00:00,2014-04-18,8,720
2014-04-18 09:00:00,2014-04-18,9,640
2014-04-18 10:00:00,2014-04-18,10,558
2014-04-18 11:00:00,2014-04-18,11,634
2014-04-18 12:00:00,2014-04-18,12,665
2014-04-18 13:00:00,2014-04-18,13,770
2014-04-18 14:00:00,2014-04-18,14,877
2014-04-18 15:00:00,2014-04-18,15,1139
2014-04-18 16:00:00,2014-04-18,16,1276
2014-04-18 17:00:00,2014-04-18,17,1165
2014-04-18 18:00:00,2014-04-18,18,1344
2014-04-18 19:00:00,2014-04-18,19,1147
2014-04-18 20:00:00,2014-04-18,20,1055
2014-04-18 21:00:00,2014-04-18,21,1149
2014-04-18 22:00:00,2014-04-18,22,1326
2014-04-18 23:00:00,2014-04-18,23,1026
2014-04-19 00:00:00,2014-04-19,0,635
2014-04-19 01:00:00,2014-04-19,1,443
2014-04-19 02:00:00,2014-04-19,2,301
2014-04-19 03:00:00,2014-04-19,3,223
2014-04-19 04:00:00,2014-04-19,4,151
2014-04-19 05:00:00,2014-04-19,5,154
2014-04-19 06:00:00,2014-04-19,6,176
2014-04-19 07:00:00,2014-04-19,7,221
2014-04-19 08:00:00,2014-04-19,8,290
2014-04-19 09:00:00,2014-04-19,9,386
2014-04-19 10:00:00,2014-04-19,10,464
2014-04-19 11:00:00,2014-04-19,11,542
2014-04-19 12:00:00,2014-04-19,12,603
2014-04-19 13:00:00,2014-04-19,13,616
2014-04-19 14:00:00,2014-04-19,14,677
2014-04-19 15:00:00,2014-04-19,15,912
2014-04-19 16:00:00,2014-04-19,16,1014
2014-04-19 17:00:00,2014-04-19,17,979
2014-04-19 18:00:00,2014-04-19,18,1036
2014-04-19 19:00:00,2014-04-19,19,1004
2014-04-19 20:00:00,2014-04-19,20,828
2014-04-19 21:00:00,2014-04-19,21,992
2014-04-19 22:00:00,2014-04-19,22,1105
2014-04-19 23:00:00,2014-04-19,23,850
2014-04-20 00:00:00,2014-04-20,0,544
2014-04-20 01:00:00,2014-04-20,1,433
2014-04-20 02:00:00,2014-04-20,2,275
2014-04-20 03:00:00,2014-04-20,3,209
2014-04-20 04:00:00,2014-04-20,4,149
2014-04-20 05:00:00,2014-04-20,5,118
2014-04-20 06:00:00,2014-04-20,6,126
2014-04-20 07:00:00,2014-04-20,7,183
2014-04-20 08:00:00,2014-04-20,8,291
2014-04-20 09:00:00,2014-04-20,9,431
2014-04-20 10:00:00,2014-04-20,10,509
2014-04-20 11:00:00,2014-04-20,11,579
2014-04-20 12:00:00,2014-04-20,12,619
2014-04-20 13:00:00,2014-04-20,13,642
2014-04-20 14:00:00,2014-04-20,14,604
2014-04-20 15:00:00,2014-04-20,15,727
2014-04-20 16:00:00,2014-04-20,16,735
2014-04-20 17:00:00,2014-04-20,17,618
2014-04-20 18:00:00,2014-04-20,18,664
2014-04-20 19:00:00,2014-04-20,19,696
2014-04-20 20:00:00,2014-04-20,20,631
2014-04-20 21:00:00,2014-04-20,21,596
2014-04-20 22:00:00,2014-04-20,22,404
2014-04-20 23:00:00,2014-04-20,23,234
2014-04-21 00:00:00,2014-04-21,0,113
2014-04-21 01:00:00,2014-04-21,1,66
2014-04-21 02:00:00,2014-04-21,2,58
2014-04-21 03:00:00,2014-04-21,3,131
2014-04-21 04:00:00,2014-04-21,4,267
2014-04-21 05:00:00,2014-04-21,5,398
2014-04-21 06:00:00,2014-04-21,6,674
2014-04-21 07:00:00,2014-04-21,7,915
2014-04-21 08:00:00,2014-04-21,8,711
2014-04-21 09:00:00,2014-04-21,9,522
2014-04-21 10:00:00,2014-04-21,10,440
2014-04-21 11:00:00,2014-04-21,11,461
2014-04-21 12:00:00,2014-04-21,12,443
2014-04-21 13:00:00,2014-04-21,13,543
2014-04-21 14:00:00,2014-04-21,14,718
2014-04-21 15:00:00,2014-04-21,15,836
2014-04-21 16:00:00,2014-04-21,16,1013
2014-04-21 17:00:00,2014-04-21,17,1063
2014-04-21 18:00:00,2014-04-21,18,871
2014-04-21 19:00:00,2014-04-21,19,836
2014-04-21 20:00:00,2014-04-21,20,734
2014-04-21 21:00:00,2014-04-21,21,615
2014-04-21 22:00:00,2014-04-21,22,443
2014-04-21 23:00:00,2014-04-21,23,291
2014-04-22 00:00:00,2014-04-22,0,150
2014-04-22 01:00:00,2014-04-22,1,62
2014-04-22 02:00:00,2014-04-22,2,61
2014-04-22 03:00:00,2014-04-22,3,88
2014-04-22 04:00:00,2014-04-22,4,207
2014-04-22 05:00:00,2014-04-22,5,327
2014-04-22 06:00:00,2014-04-22,6,719
2014-04-22 07:00:00,2014-04-22,7,945
2014-04-22 08:00:00,2014-04-22,8,802
2014-04-22 09:00:00,2014-04-22,9,506
2014-04-22 10:00:00,2014-04-22,10,550
2014-04-22 11:00:00,2014-04-22,11,522
2014-04-22 12:00:00,2014-04-22,12,505
2014-04-22 13:00:00,2014-04-22,13,613
2014-04-22 14:00:00,2014-04-22,14,834
2014-04-22 15:00:00,2014-04-22,15,1374
2014-04-22 16:00:00,2014-04-22,16,1629
2014-04-22 17:00:00,2014-04-22,17,1612
2014-04-22 18:00:00,2014-04-22,18,1342
2014-04-22 19:00:00,2014-04-22,19,1115
2014-04-22 20:00:00,2014-04-22,20,1118
2014-04-22 21:00:00,2014-04-22,21,967
2014-04-22 22:00:00,2014-04-22,22,614
2014-04-22 23:00:00,2014-04-22,23,313
2014-04-23 00:00:00,2014-04-23,0,149
2014-04-23 01:00:00,2014-04-23,1,92
2014-04-23 02:00:00,2014-04-23,2,64
2014-04-23 03:00:00,2014-04-23,3,90
2014-04-23 04:00:00,2014-04-23,4,212
2014-04-23 05:00:00,2014-04-23,5,383
2014-04-23 06:00:00,2014-04-23,6,795
2014-04-23 07:00:00,2014-04-23,7,1088
2014-04-23 08:00:00,2014-04-23,8,946
2014-04-23 09:00:00,2014-04-23,9,630
2014-04-23 10:00:00,2014-04-23,10,694
2014-04-23 11:00:00,2014-04-23,11,659
2014-04-23 12:00:00,2014-04-23,12,684
2014-04-23 13:00:00,2014-04-23,13,782
2014-04-23 14:00:00,2014-04-23,14,991
2014-04-23 15:00:00,2014-04-23,15,1280
2014-04-23 16:00:00,2014-04-23,16,1550
2014-04-23 17:00:00,2014-04-23,17,1744
