aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
1000000.0,2,7,1,1,0,1
1000000.0,2,7,1,1,1,1
1000000.0,2,8,0,0,0,1
1000000.0,2,8,0,0,1,1
1000000.0,2,8,0,1,0,1
1000000.0,2,8,0,1,1,1
1000000.0,2,8,1,0,0,1
1000000.0,2,8,1,0,1,1
1000000.0,2,8,1,1,0,1
1000000.0,2,8,1,1,1,1
1000000.0,2,9,0,0,0,1
1000000.0,2,9,0,0,1,1
1000000.0,2,9,0,1,0,1
1000000.0,2,9,0,1,1,1
1000000.0,2,9,1,0,0,1
1000000.0,2,9,1,0,1,1
1000000.0,2,9,1,1,0,1
1000000.0,2,9,1,1,1,1
1000000.0,2,10,0,0,0,1
1000000.0,2,10,0,0,1,1
1000000.0,2,10,0,1,0,1
1000000.0,2,10,0,1,1,1
1000000.0,2,10,1,0,0,1
1000000.0,2,10,1,0,1,1
1000000.0,2,10,1,1,0,1
1000000.0,2,10,1,1,1,1
1000000.0,2,11,0,0,0,1
1000000.0,2,11,0,0,1,1
1000000.0,2,11,0,1,0,1
1000000.0,2,11,0,1,1,1
1000000.0,2,11,1,0,0,1
1000000.0,2,11,1,0,1,1
1000000.0,2,11,1,1,0,1
1000000.0,2,11,1,1,1,1
7187.539374683338,3,0,0,0,0,0
7101.583054178803,3,0,0,0,1,0
6778.508588381879,3,0,0,1,0,0
6529.529225186057,3,0,0,1,1,0
7035.297476432521,3,0,1,0,0,0
6858.481160277279,3,0,1,0,1,0
6708.789845742019,3,0,1,1,0,0
6531.305447485271,3,0,1,1,1,0
7187.589330450962,3,1,0,0,0,0
7102.852586606212,3,1,0,0,1,0
6758.136118225395,3,1,0,1,0,0
6537.193053358877,3,1,0,1,1,0
7036.84821995813,3,1,1,0,0,0
1000000.0,3,1,1,0,1,1
6710.63130199369,3,1,1,1,0,0
6539.0545751037935,3,1,1,1,1,0
1000000.0,3,2,0,0,0,1
1000000.0,3,2,0,0,1,1
1000000.0,3,2,0,1,0,1
1000000.0,3,2,0,1,1,1
1000000.0,3,2,1,0,0,1
1000000.0,3,2,1,0,1,1
1000000.0,3,2,1,1,0,1
1000000.0,3,2,1,1,1,1
1000000.0,3,3,0,0,0,1
1000000.0,3,3,0,0,1,1
1000000.0,3,3,0,1,0,1
1000000.0,3,3,0,1,1,1
1000000.0,3,3,1,0,0,1
1000000.0,3,3,1,0,1,1
1000000.0,3,3,1,1,0,1
1000000.0,3,3,1,1,1,1
1000000.0,3,4,0,0,0,1
1000000.0,3,4,0,0,1,1
1000000.0,3,4,0,1,0,1
1000000.0,3,4,0,1,1,1
1000000.0,3,4,1,0,0,1
6942.265787443514,3,4,1,0,1,0
1000000.0,3,4,1,1,0,1
1000000.0,3,4,1,1,1,1
1000000.0,3,5,0,0,0,1
1000000.0,3,5,0,0,1,1
1000000.0,3,5,0,1,0,1
1000000.0,3,5,0,1,1,1
1000000.0,3,5,1,0,0,1
1000000.0,3,5,1,0,1,1
1000000.0,3,5,1,1,0,1
1000000.0,3,5,1,1,1,1
1000000.0,3,6,0,0,0,1
1000000.0,3,6,0,0,1,1
1000000.0,3,6,0,1,0,1
1000000.0,3,6,0,1,1,1
1000000.0,3,6,1,0,0,1
1000000.0,3,6,1,0,1,1
1000000.0,3,6,1,1,0,1
1000000.0,3,6,1,1,1,1
1000000.0,3,7,0,0,0,1
1000000.0,3,7,0,0,1,1
1000000.0,3,7,0,1,0,1
1000000.0,3,7,0,1,1,1
1000000.0,3,7,1,0,0,1
1000000.0,3,7,1,0,1,1
1000000.0,3,7,1,1,0,1
1000000.0,3,7,1,1,1,1
1000000.0,3,8,0,0,0,1
1000000.0,3,8,0,0,1,1
1000000.0,3,8,0,1,0,1
