,aic,ar,ma,seasonal_ar,seasonal_integration,seasonal_ma,warning
128,1000000.0,1,0,0,0,2,1
129,2274.133743102704,1,0,0,1,0,0
130,2148.03807998066,1,0,0,1,1,0
131,1000000.0,1,0,0,1,2,1
132,2488.8341477032095,1,0,1,0,0,0
133,2445.3412873114185,1,0,1,0,1,0
134,1000000.0,1,0,1,0,2,1
135,2076.7897586256786,1,0,1,1,0,0
136,2077.427045141219,1,0,1,1,1,0
137,1000000.0,1,0,1,1,2,1
138,2376.833443274739,1,0,2,0,0,0
139,2378.7138297013794,1,0,2,0,1,0
140,1000000.0,1,0,2,0,2,1
141,2078.4668390122006,1,0,2,1,0,0
142,2074.1236555383202,1,0,2,1,1,0
143,1000000.0,1,0,2,1,2,1
144,2485.7347857186323,1,1,0,0,0,0
145,2485.157944069093,1,1,0,0,1,0
146,1000000.0,1,1,0,0,2,1
147,2264.729670054917,1,1,0,1,0,0
148,2140.8362556705947,1,1,0,1,1,0
149,1000000.0,1,1,0,1,2,1
150,2482.434453443094,1,1,1,0,0,0
151,2437.8187355830405,1,1,1,0,1,0
152,1000000.0,1,1,1,0,2,1
153,2084.930628034612,1,1,1,1,0,0
154,2090.416208156683,1,1,1,1,1,0
155,1000000.0,1,1,1,1,2,1
156,2375.2564749908865,1,1,2,0,0,0
157,2376.606295126189,1,1,2,0,1,0
158,1000000.0,1,1,2,0,2,1
159,2086.9120449077054,1,1,2,1,0,0
160,1000000.0,1,1,2,1,1,1
161,1000000.0,1,1,2,1,2,1
162,2487.6177671370624,1,2,0,0,0,0
163,2487.1365649186696,1,2,0,0,1,0
164,1000000.0,1,2,0,0,2,1
165,2259.953221226612,1,2,0,1,0,0
166,1000000.0,1,2,0,1,1,1
167,1000000.0,1,2,0,1,2,1
168,2484.407001403223,1,2,1,0,0,0
169,2439.844893589289,1,2,1,0,1,0
170,1000000.0,1,2,1,0,2,1
171,2077.864328097174,1,2,1,1,0,0
172,2077.7662922016643,1,2,1,1,1,0
173,1000000.0,1,2,1,1,2,1
174,1000000.0,1,2,2,0,0,1
175,1000000.0,1,2,2,0,1,1
176,1000000.0,1,2,2,0,2,1
177,2079.3590454402156,1,2,2,1,0,0
178,2075.9997971083903,1,2,2,1,1,0
179,1000000.0,1,2,2,1,2,1
180,2489.7156281101215,1,3,0,0,0,0
181,2489.1485029388596,1,3,0,0,1,0
182,1000000.0,1,3,0,0,2,1
183,2260.342224499156,1,3,0,1,0,0
184,1000000.0,1,3,0,1,1,1
185,1000000.0,1,3,0,1,2,1
186,2486.4154430831877,1,3,1,0,0,0
187,1000000.0,1,3,1,0,1,1
188,1000000.0,1,3,1,0,2,1
189,2079.3121603105583,1,3,1,1,0,0
190,2079.349286675417,1,3,1,1,1,0
191,1000000.0,1,3,1,1,2,1
192,2379.1555946333465,1,3,2,0,0,0
193,1000000.0,1,3,2,0,1,1
194,1000000.0,1,3,2,0,2,1
195,2080.818653674907,1,3,2,1,0,0
196,2077.626781107904,1,3,2,1,1,0
197,1000000.0,1,3,2,1,2,1
198,2476.4955287438092,1,4,0,0,0,0
199,2477.183578128518,1,4,0,0,1,0
200,1000000.0,1,4,0,0,2,1
201,2258.822183531997,1,4,0,1,0,0
202,2141.069538676157,1,4,0,1,1,0
203,1000000.0,1,4,0,1,2,1
204,2475.4697477364416,1,4,1,0,0,0
205,2430.590287374702,1,4,1,0,1,0
206,1000000.0,1,4,1,0,2,1
207,2074.335673450776,1,4,1,1,0,0
208,1000000.0,1,4,1,1,1,1
209,1000000.0,1,4,1,1,2,1
210,2367.784796615404,1,4,2,0,0,0
211,2381.90043985012,1,4,2,0,1,0
212,1000000.0,1,4,2,0,2,1
213,2075.8209592404896,1,4,2,1,0,0
214,1000000.0,1,4,2,1,1,1
215,1000000.0,1,4,2,1,2,1
216,1000000.0,1,5,0,0,0,1
217,1000000.0,1,5,0,0,1,1
218,1000000.0,1,5,0,0,2,1
219,2260.260856459662,1,5,0,1,0,0
220,1000000.0,1,5,0,1,1,1
221,1000000.0,1,5,0,1,2,1
222,1000000.0,1,5,1,0,0,1
223,1000000.0,1,5,1,0,1,1
224,1000000.0,1,5,1,0,2,1
225,2074.7914456189064,1,5,1,1,0,0
226,1000000.0,1,5,1,1,1,1
227,1000000.0,1,5,1,1,2,1
228,1000000.0,1,5,2,0,0,1
229,1000000.0,1,5,2,0,1,1
230,1000000.0,1,5,2,0,2,1
231,1000000.0,1,5,2,1,0,1
232,1000000.0,1,5,2,1,1,1
233,1000000.0,1,5,2,1,2,1
234,2478.3176190035438,1,6,0,0,0,0
235,2479.65237587802,1,6,0,0,1,0
236,1000000.0,1,6,0,0,2,1
237,2255.6286662996936,1,6,0,1,0,0
238,1000000.0,1,6,0,1,1,1
239,1000000.0,1,6,0,1,2,1
240,2478.679402450928,1,6,1,0,0,0
241,2438.2713683766888,1,6,1,0,1,0
242,1000000.0,1,6,1,0,2,1
243,1000000.0,1,6,1,1,0,1
244,1000000.0,1,6,1,1,1,1
245,1000000.0,1,6,1,1,2,1
246,2370.3370927676615,1,6,2,0,0,0
247,1000000.0,1,6,2,0,1,1
248,1000000.0,1,6,2,0,2,1
249,1000000.0,1,6,2,1,0,1
250,1000000.0,1,6,2,1,1,1
251,1000000.0,1,6,2,1,2,1
252,2489.3875865988593,2,0,0,0,0,0
253,2488.113045482123,2,0,0,0,1,0
254,1000000.0,2,0,0,0,2,1
255,2256.6963276243237,2,0,0,1,0,0
256,2134.302148139469,2,0,0,1,1,0
257,1000000.0,2,0,0,1,2,1
258,2484.2135755095987,2,0,1,0,0,0
259,2434.5355572717435,2,0,1,0,1,0
260,1000000.0,2,0,1,0,2,1
261,2074.169938612541,2,0,1,1,0,0
262,2073.2929702550423,2,0,1,1,1,0
263,1000000.0,2,0,1,1,2,1
264,2375.125144782493,2,0,2,0,0,0
265,2375.9632821628434,2,0,2,0,1,0
266,1000000.0,2,0,2,0,2,1
267,2075.410940629421,2,0,2,1,0,0
268,1000000.0,2,0,2,1,1,1
269,1000000.0,2,0,2,1,2,1
270,2487.0362876249887,2,1,0,0,0,0
271,2486.8820517865443,2,1,0,0,1,0
272,1000000.0,2,1,0,0,2,1
273,2258.638824687462,2,1,0,1,0,0
274,2136.0754153249027,2,1,0,1,1,0
275,1000000.0,2,1,0,1,2,1
276,2484.421060211704,2,1,1,0,0,0
277,1000000.0,2,1,1,0,1,1
278,1000000.0,2,1,1,0,2,1
279,2080.6351133476787,2,1,1,1,0,0
280,2081.4253282733307,2,1,1,1,1,0
281,1000000.0,2,1,1,1,2,1
282,1000000.0,2,1,2,0,0,1
283,1000000.0,2,1,2,0,1,1
284,1000000.0,2,1,2,0,2,1
285,1000000.0,2,1,2,1,0,1
