,Date,Hour,Count,Weekday
2014-07-01 00:00:00,2014-07-01,0,4,Tuesday
2014-07-01 01:00:00,2014-07-01,1,5,Tuesday
2014-07-01 02:00:00,2014-07-01,2,2,Tuesday
2014-07-01 03:00:00,2014-07-01,3,1,Tuesday
2014-07-01 04:00:00,2014-07-01,4,5,Tuesday
2014-07-01 05:00:00,2014-07-01,5,7,Tuesday
2014-07-01 06:00:00,2014-07-01,6,3,Tuesday
2014-07-01 07:00:00,2014-07-01,7,8,Tuesday
2014-07-01 08:00:00,2014-07-01,8,3,Tuesday
2014-07-01 09:00:00,2014-07-01,9,11,Tuesday
2014-07-01 10:00:00,2014-07-01,10,3,Tuesday
2014-07-01 11:00:00,2014-07-01,11,6,Tuesday
2014-07-01 12:00:00,2014-07-01,12,18,Tuesday
2014-07-01 13:00:00,2014-07-01,13,11,Tuesday
2014-07-01 14:00:00,2014-07-01,14,17,Tuesday
2014-07-01 15:00:00,2014-07-01,15,15,Tuesday
2014-07-01 16:00:00,2014-07-01,16,10,Tuesday
2014-07-01 17:00:00,2014-07-01,17,6,Tuesday
2014-07-01 18:00:00,2014-07-01,18,6,Tuesday
2014-07-01 19:00:00,2014-07-01,19,10,Tuesday
2014-07-01 20:00:00,2014-07-01,20,11,Tuesday
2014-07-01 21:00:00,2014-07-01,21,18,Tuesday
2014-07-01 22:00:00,2014-07-01,22,9,Tuesday
2014-07-01 23:00:00,2014-07-01,23,5,Tuesday
2014-07-02 00:00:00,2014-07-02,0,2,Wednesday
2014-07-02 01:00:00,2014-07-02,1,1,Wednesday
2014-07-02 02:00:00,2014-07-02,2,1,Wednesday
2014-07-02 03:00:00,2014-07-02,3,1,Wednesday
2014-07-02 04:00:00,2014-07-02,4,7,Wednesday
2014-07-02 05:00:00,2014-07-02,5,4,Wednesday
2014-07-02 06:00:00,2014-07-02,6,1,Wednesday
2014-07-02 07:00:00,2014-07-02,7,6,Wednesday
2014-07-02 08:00:00,2014-07-02,8,4,Wednesday
2014-07-02 09:00:00,2014-07-02,9,7,Wednesday
2014-07-02 10:00:00,2014-07-02,10,5,Wednesday
2014-07-02 11:00:00,2014-07-02,11,10,Wednesday
2014-07-02 12:00:00,2014-07-02,12,10,Wednesday
2014-07-02 13:00:00,2014-07-02,13,9,Wednesday
2014-07-02 14:00:00,2014-07-02,14,17,Wednesday
2014-07-02 15:00:00,2014-07-02,15,12,Wednesday
2014-07-02 16:00:00,2014-07-02,16,7,Wednesday
2014-07-02 17:00:00,2014-07-02,17,17,Wednesday
2014-07-02 18:00:00,2014-07-02,18,12,Wednesday
2014-07-02 19:00:00,2014-07-02,19,10,Wednesday
2014-07-02 20:00:00,2014-07-02,20,5,Wednesday
2014-07-02 21:00:00,2014-07-02,21,14,Wednesday
2014-07-02 22:00:00,2014-07-02,22,21,Wednesday
2014-07-02 23:00:00,2014-07-02,23,18,Wednesday
2014-07-03 00:00:00,2014-07-03,0,28,Thursday
2014-07-03 01:00:00,2014-07-03,1,10,Thursday
2014-07-03 02:00:00,2014-07-03,2,1,Thursday
2014-07-03 03:00:00,2014-07-03,3,5,Thursday
2014-07-03 04:00:00,2014-07-03,4,8,Thursday
2014-07-03 05:00:00,2014-07-03,5,8,Thursday
2014-07-03 06:00:00,2014-07-03,6,6,Thursday
2014-07-03 07:00:00,2014-07-03,7,5,Thursday
2014-07-03 08:00:00,2014-07-03,8,10,Thursday
2014-07-03 09:00:00,2014-07-03,9,6,Thursday
2014-07-03 10:00:00,2014-07-03,10,6,Thursday
2014-07-03 11:00:00,2014-07-03,11,14,Thursday
2014-07-03 12:00:00,2014-07-03,12,6,Thursday
2014-07-03 13:00:00,2014-07-03,13,15,Thursday
2014-07-03 14:00:00,2014-07-03,14,19,Thursday
2014-07-03 15:00:00,2014-07-03,15,13,Thursday
2014-07-03 16:00:00,2014-07-03,16,13,Thursday
2014-07-03 17:00:00,2014-07-03,17,13,Thursday
2014-07-03 18:00:00,2014-07-03,18,4,Thursday
2014-07-03 19:00:00,2014-07-03,19,8,Thursday
2014-07-03 20:00:00,2014-07-03,20,2,Thursday
2014-07-03 21:00:00,2014-07-03,21,11,Thursday
2014-07-03 22:00:00,2014-07-03,22,22,Thursday
2014-07-03 23:00:00,2014-07-03,23,22,Thursday
2014-07-04 00:00:00,2014-07-04,0,30,Friday
2014-07-04 01:00:00,2014-07-04,1,17,Friday
2014-07-04 02:00:00,2014-07-04,2,6,Friday
2014-07-04 03:00:00,2014-07-04,3,1,Friday
2014-07-04 05:00:00,2014-07-04,5,5,Friday
2014-07-04 06:00:00,2014-07-04,6,6,Friday
2014-07-04 07:00:00,2014-07-04,7,7,Friday
2014-07-04 08:00:00,2014-07-04,8,7,Friday
2014-07-04 09:00:00,2014-07-04,9,10,Friday
2014-07-04 10:00:00,2014-07-04,10,6,Friday
2014-07-04 11:00:00,2014-07-04,11,10,Friday
2014-07-04 12:00:00,2014-07-04,12,8,Friday
2014-07-04 13:00:00,2014-07-04,13,3,Friday
2014-07-04 14:00:00,2014-07-04,14,11,Friday
2014-07-04 15:00:00,2014-07-04,15,10,Friday
2014-07-04 16:00:00,2014-07-04,16,7,Friday
2014-07-04 17:00:00,2014-07-04,17,11,Friday
2014-07-04 18:00:00,2014-07-04,18,10,Friday
2014-07-04 19:00:00,2014-07-04,19,8,Friday
2014-07-04 20:00:00,2014-07-04,20,3,Friday
2014-07-04 21:00:00,2014-07-04,21,3,Friday
2014-07-04 22:00:00,2014-07-04,22,3,Friday
2014-07-04 23:00:00,2014-07-04,23,5,Friday
2014-07-07 00:00:00,2014-07-07,0,10,Monday
2014-07-07 01:00:00,2014-07-07,1,4,Monday
2014-07-07 03:00:00,2014-07-07,3,3,Monday
2014-07-07 04:00:00,2014-07-07,4,16,Monday
2014-07-07 05:00:00,2014-07-07,5,15,Monday
2014-07-07 06:00:00,2014-07-07,6,10,Monday
2014-07-07 07:00:00,2014-07-07,7,12,Monday
2014-07-07 08:00:00,2014-07-07,8,17,Monday
2014-07-07 09:00:00,2014-07-07,9,7,Monday
2014-07-07 10:00:00,2014-07-07,10,10,Monday
2014-07-07 11:00:00,2014-07-07,11,19,Monday
2014-07-07 12:00:00,2014-07-07,12,12,Monday
2014-07-07 13:00:00,2014-07-07,13,15,Monday
2014-07-07 14:00:00,2014-07-07,14,22,Monday
2014-07-07 15:00:00,2014-07-07,15,16,Monday
2014-07-07 16:00:00,2014-07-07,16,15,Monday
2014-07-07 17:00:00,2014-07-07,17,18,Monday
2014-07-07 18:00:00,2014-07-07,18,10,Monday
2014-07-07 19:00:00,2014-07-07,19,17,Monday
2014-07-07 20:00:00,2014-07-07,20,12,Monday
2014-07-07 21:00:00,2014-07-07,21,16,Monday
2014-07-07 22:00:00,2014-07-07,22,10,Monday
2014-07-07 23:00:00,2014-07-07,23,16,Monday
2014-07-08 00:00:00,2014-07-08,0,7,Tuesday
2014-07-08 01:00:00,2014-07-08,1,3,Tuesday
2014-07-08 02:00:00,2014-07-08,2,3,Tuesday
2014-07-08 03:00:00,2014-07-08,3,2,Tuesday
2014-07-08 04:00:00,2014-07-08,4,4,Tuesday
2014-07-08 05:00:00,2014-07-08,5,7,Tuesday
2014-07-08 06:00:00,2014-07-08,6,9,Tuesday
2014-07-08 07:00:00,2014-07-08,7,9,Tuesday
2014-07-08 08:00:00,2014-07-08,8,8,Tuesday
2014-07-08 09:00:00,2014-07-08,9,8,Tuesday
2014-07-08 10:00:00,2014-07-08,10,7,Tuesday
2014-07-08 11:00:00,2014-07-08,11,19,Tuesday
2014-07-08 12:00:00,2014-07-08,12,5,Tuesday
2014-07-08 13:00:00,2014-07-08,13,17,Tuesday
2014-07-08 14:00:00,2014-07-08,14,19,Tuesday
2014-07-08 15:00:00,2014-07-08,15,14,Tuesday
2014-07-08 16:00:00,2014-07-08,16,9,Tuesday
2014-07-08 17:00:00,2014-07-08,17,10,Tuesday
2014-07-08 18:00:00,2014-07-08,18,13,Tuesday
2014-07-08 19:00:00,2014-07-08,19,13,Tuesday
2014-07-08 20:00:00,2014-07-08,20,8,Tuesday
2014-07-08 21:00:00,2014-07-08,21,6,Tuesday
2014-07-08 22:00:00,2014-07-08,22,18,Tuesday
2014-07-08 23:00:00,2014-07-08,23,21,Tuesday
2014-07-09 00:00:00,2014-07-09,0,13,Wednesday
2014-07-09 01:00:00,2014-07-09,1,3,Wednesday
2014-07-09 04:00:00,2014-07-09,4,1,Wednesday
2014-07-09 05:00:00,2014-07-09,5,9,Wednesday
2014-07-09 06:00:00,2014-07-09,6,12,Wednesday
2014-07-09 07:00:00,2014-07-09,7,13,Wednesday
2014-07-09 08:00:00,2014-07-09,8,14,Wednesday
2014-07-09 09:00:00,2014-07-09,9,12,Wednesday
2014-07-09 10:00:00,2014-07-09,10,9,Wednesday
2014-07-09 11:00:00,2014-07-09,11,13,Wednesday
2014-07-09 12:00:00,2014-07-09,12,13,Wednesday
2014-07-09 13:00:00,2014-07-09,13,14,Wednesday
2014-07-09 14:00:00,2014-07-09,14,8,Wednesday
2014-07-09 15:00:00,2014-07-09,15,25,Wednesday
2014-07-09 16:00:00,2014-07-09,16,11,Wednesday
2014-07-09 17:00:00,2014-07-09,17,7,Wednesday
2014-07-09 18:00:00,2014-07-09,18,13,Wednesday
2014-07-09 19:00:00,2014-07-09,19,10,Wednesday
2014-07-09 20:00:00,2014-07-09,20,16,Wednesday
2014-07-09 21:00:00,2014-07-09,21,18,Wednesday
2014-07-09 22:00:00,2014-07-09,22,15,Wednesday
2014-07-09 23:00:00,2014-07-09,23,9,Wednesday
2014-07-10 00:00:00,2014-07-10,0,3,Thursday
2014-07-10 01:00:00,2014-07-10,1,2,Thursday
2014-07-10 02:00:00,2014-07-10,2,1,Thursday
2014-07-10 04:00:00,2014-07-10,4,3,Thursday
2014-07-10 05:00:00,2014-07-10,5,3,Thursday
2014-07-10 06:00:00,2014-07-10,6,10,Thursday
2014-07-10 07:00:00,2014-07-10,7,7,Thursday
2014-07-10 08:00:00,2014-07-10,8,5,Thursday
2014-07-10 09:00:00,2014-07-10,9,9,Thursday
2014-07-10 10:00:00,2014-07-10,10,13,Thursday
2014-07-10 11:00:00,2014-07-10,11,8,Thursday
2014-07-10 12:00:00,2014-07-10,12,8,Thursday
2014-07-10 13:00:00,2014-07-10,13,20,Thursday
2014-07-10 14:00:00,2014-07-10,14,13,Thursday
2014-07-10 15:00:00,2014-07-10,15,29,Thursday
2014-07-10 16:00:00,2014-07-10,16,19,Thursday
2014-07-10 17:00:00,2014-07-10,17,12,Thursday
