,Date,Hour,Count,Weekday
2014-05-03 00:00:00,2014-05-03,0,185,Saturday
2014-05-03 01:00:00,2014-05-03,1,110,Saturday
2014-05-03 02:00:00,2014-05-03,2,74,Saturday
2014-05-03 03:00:00,2014-05-03,3,55,Saturday
2014-05-03 04:00:00,2014-05-03,4,60,Saturday
2014-05-03 05:00:00,2014-05-03,5,65,Saturday
2014-05-03 06:00:00,2014-05-03,6,78,Saturday
2014-05-03 07:00:00,2014-05-03,7,105,Saturday
2014-05-03 08:00:00,2014-05-03,8,139,Saturday
2014-05-03 09:00:00,2014-05-03,9,199,Saturday
2014-05-03 10:00:00,2014-05-03,10,214,Saturday
2014-05-03 11:00:00,2014-05-03,11,285,Saturday
2014-05-03 12:00:00,2014-05-03,12,286,Saturday
2014-05-03 13:00:00,2014-05-03,13,283,Saturday
2014-05-03 14:00:00,2014-05-03,14,342,Saturday
2014-05-03 15:00:00,2014-05-03,15,567,Saturday
2014-05-03 16:00:00,2014-05-03,16,756,Saturday
2014-05-03 17:00:00,2014-05-03,17,654,Saturday
2014-05-03 18:00:00,2014-05-03,18,1008,Saturday
2014-05-03 19:00:00,2014-05-03,19,613,Saturday
2014-05-03 20:00:00,2014-05-03,20,526,Saturday
2014-05-03 21:00:00,2014-05-03,21,601,Saturday
2014-05-03 22:00:00,2014-05-03,22,449,Saturday
2014-05-03 23:00:00,2014-05-03,23,361,Saturday
2014-05-04 00:00:00,2014-05-04,0,284,Sunday
2014-05-04 01:00:00,2014-05-04,1,154,Sunday
2014-05-04 02:00:00,2014-05-04,2,90,Sunday
2014-05-04 03:00:00,2014-05-04,3,73,Sunday
2014-05-04 04:00:00,2014-05-04,4,61,Sunday
2014-05-04 05:00:00,2014-05-04,5,50,Sunday
2014-05-04 06:00:00,2014-05-04,6,57,Sunday
2014-05-04 07:00:00,2014-05-04,7,69,Sunday
2014-05-04 08:00:00,2014-05-04,8,100,Sunday
2014-05-04 09:00:00,2014-05-04,9,124,Sunday
2014-05-04 10:00:00,2014-05-04,10,166,Sunday
2014-05-04 11:00:00,2014-05-04,11,219,Sunday
2014-05-04 12:00:00,2014-05-04,12,226,Sunday
2014-05-04 13:00:00,2014-05-04,13,278,Sunday
2014-05-04 14:00:00,2014-05-04,14,302,Sunday
2014-05-04 15:00:00,2014-05-04,15,424,Sunday
2014-05-04 16:00:00,2014-05-04,16,465,Sunday
2014-05-04 17:00:00,2014-05-04,17,400,Sunday
2014-05-04 18:00:00,2014-05-04,18,291,Sunday
2014-05-04 19:00:00,2014-05-04,19,232,Sunday
2014-05-04 20:00:00,2014-05-04,20,211,Sunday
2014-05-04 21:00:00,2014-05-04,21,232,Sunday
2014-05-04 22:00:00,2014-05-04,22,124,Sunday
2014-05-04 23:00:00,2014-05-04,23,75,Sunday
2014-05-10 00:00:00,2014-05-10,0,237,Saturday
2014-05-10 01:00:00,2014-05-10,1,97,Saturday
2014-05-10 02:00:00,2014-05-10,2,78,Saturday
2014-05-10 03:00:00,2014-05-10,3,59,Saturday
2014-05-10 04:00:00,2014-05-10,4,49,Saturday
2014-05-10 05:00:00,2014-05-10,5,63,Saturday
2014-05-10 06:00:00,2014-05-10,6,77,Saturday
2014-05-10 07:00:00,2014-05-10,7,102,Saturday
2014-05-10 08:00:00,2014-05-10,8,175,Saturday
2014-05-10 09:00:00,2014-05-10,9,227,Saturday
2014-05-10 10:00:00,2014-05-10,10,252,Saturday
2014-05-10 11:00:00,2014-05-10,11,273,Saturday
2014-05-10 12:00:00,2014-05-10,12,317,Saturday
2014-05-10 13:00:00,2014-05-10,13,389,Saturday
2014-05-10 14:00:00,2014-05-10,14,393,Saturday
2014-05-10 15:00:00,2014-05-10,15,703,Saturday
2014-05-10 16:00:00,2014-05-10,16,879,Saturday
2014-05-10 17:00:00,2014-05-10,17,850,Saturday
2014-05-10 18:00:00,2014-05-10,18,788,Saturday
2014-05-10 19:00:00,2014-05-10,19,486,Saturday
2014-05-10 20:00:00,2014-05-10,20,402,Saturday
2014-05-10 21:00:00,2014-05-10,21,467,Saturday
