,Date,Hour,Count,Weekday
2014-08-01 00:00:00,2014-08-01,0,17,Friday
2014-08-01 01:00:00,2014-08-01,1,8,Friday
2014-08-01 02:00:00,2014-08-01,2,4,Friday
2014-08-01 03:00:00,2014-08-01,3,4,Friday
2014-08-01 04:00:00,2014-08-01,4,32,Friday
2014-08-01 05:00:00,2014-08-01,5,54,Friday
2014-08-01 06:00:00,2014-08-01,6,41,Friday
2014-08-01 07:00:00,2014-08-01,7,28,Friday
2014-08-01 08:00:00,2014-08-01,8,27,Friday
2014-08-01 09:00:00,2014-08-01,9,27,Friday
2014-08-01 10:00:00,2014-08-01,10,25,Friday
2014-08-01 11:00:00,2014-08-01,11,26,Friday
2014-08-01 12:00:00,2014-08-01,12,42,Friday
2014-08-01 13:00:00,2014-08-01,13,49,Friday
2014-08-01 14:00:00,2014-08-01,14,66,Friday
2014-08-01 15:00:00,2014-08-01,15,54,Friday
2014-08-01 16:00:00,2014-08-01,16,63,Friday
2014-08-01 17:00:00,2014-08-01,17,60,Friday
2014-08-01 18:00:00,2014-08-01,18,64,Friday
2014-08-01 19:00:00,2014-08-01,19,76,Friday
2014-08-01 20:00:00,2014-08-01,20,57,Friday
2014-08-01 21:00:00,2014-08-01,21,67,Friday
2014-08-01 22:00:00,2014-08-01,22,70,Friday
2014-08-01 23:00:00,2014-08-01,23,56,Friday
2014-08-04 00:00:00,2014-08-04,0,34,Monday
2014-08-04 01:00:00,2014-08-04,1,5,Monday
2014-08-04 02:00:00,2014-08-04,2,11,Monday
2014-08-04 03:00:00,2014-08-04,3,7,Monday
2014-08-04 04:00:00,2014-08-04,4,23,Monday
2014-08-04 05:00:00,2014-08-04,5,79,Monday
2014-08-04 06:00:00,2014-08-04,6,90,Monday
2014-08-04 07:00:00,2014-08-04,7,53,Monday
2014-08-04 08:00:00,2014-08-04,8,30,Monday
2014-08-04 09:00:00,2014-08-04,9,23,Monday
2014-08-04 10:00:00,2014-08-04,10,36,Monday
2014-08-04 11:00:00,2014-08-04,11,24,Monday
2014-08-04 12:00:00,2014-08-04,12,28,Monday
2014-08-04 13:00:00,2014-08-04,13,57,Monday
2014-08-04 14:00:00,2014-08-04,14,109,Monday
2014-08-04 15:00:00,2014-08-04,15,56,Monday
2014-08-04 16:00:00,2014-08-04,16,63,Monday
2014-08-04 17:00:00,2014-08-04,17,56,Monday
2014-08-04 18:00:00,2014-08-04,18,75,Monday
2014-08-04 19:00:00,2014-08-04,19,55,Monday
2014-08-04 20:00:00,2014-08-04,20,61,Monday
2014-08-04 21:00:00,2014-08-04,21,54,Monday
2014-08-04 22:00:00,2014-08-04,22,53,Monday
2014-08-04 23:00:00,2014-08-04,23,46,Monday
2014-08-05 00:00:00,2014-08-05,0,8,Tuesday
2014-08-05 01:00:00,2014-08-05,1,17,Tuesday
2014-08-05 02:00:00,2014-08-05,2,3,Tuesday
2014-08-05 03:00:00,2014-08-05,3,4,Tuesday
2014-08-05 04:00:00,2014-08-05,4,25,Tuesday
2014-08-05 05:00:00,2014-08-05,5,31,Tuesday
2014-08-05 06:00:00,2014-08-05,6,29,Tuesday
2014-08-05 07:00:00,2014-08-05,7,28,Tuesday
2014-08-05 08:00:00,2014-08-05,8,21,Tuesday
2014-08-05 09:00:00,2014-08-05,9,29,Tuesday
2014-08-05 10:00:00,2014-08-05,10,21,Tuesday
2014-08-05 11:00:00,2014-08-05,11,37,Tuesday
2014-08-05 12:00:00,2014-08-05,12,39,Tuesday
2014-08-05 13:00:00,2014-08-05,13,39,Tuesday
2014-08-05 14:00:00,2014-08-05,14,78,Tuesday
2014-08-05 15:00:00,2014-08-05,15,52,Tuesday
2014-08-05 16:00:00,2014-08-05,16,42,Tuesday
2014-08-05 17:00:00,2014-08-05,17,36,Tuesday
2014-08-05 18:00:00,2014-08-05,18,48,Tuesday
2014-08-05 19:00:00,2014-08-05,19,45,Tuesday
2014-08-05 20:00:00,2014-08-05,20,58,Tuesday
2014-08-05 21:00:00,2014-08-05,21,52,Tuesday
