,Date,Hour,Count,Weekday
2014-07-05 00:00:00,2014-07-05,0,291,Saturday
2014-07-05 01:00:00,2014-07-05,1,165,Saturday
2014-07-05 02:00:00,2014-07-05,2,122,Saturday
2014-07-05 03:00:00,2014-07-05,3,98,Saturday
2014-07-05 04:00:00,2014-07-05,4,48,Saturday
2014-07-05 05:00:00,2014-07-05,5,34,Saturday
2014-07-05 06:00:00,2014-07-05,6,33,Saturday
2014-07-05 07:00:00,2014-07-05,7,55,Saturday
2014-07-05 08:00:00,2014-07-05,8,84,Saturday
2014-07-05 09:00:00,2014-07-05,9,114,Saturday
2014-07-05 10:00:00,2014-07-05,10,122,Saturday
2014-07-05 11:00:00,2014-07-05,11,142,Saturday
2014-07-05 12:00:00,2014-07-05,12,124,Saturday
2014-07-05 13:00:00,2014-07-05,13,173,Saturday
2014-07-05 14:00:00,2014-07-05,14,201,Saturday
2014-07-05 15:00:00,2014-07-05,15,182,Saturday
2014-07-05 16:00:00,2014-07-05,16,197,Saturday
2014-07-05 17:00:00,2014-07-05,17,212,Saturday
2014-07-05 18:00:00,2014-07-05,18,218,Saturday
2014-07-05 19:00:00,2014-07-05,19,188,Saturday
2014-07-05 20:00:00,2014-07-05,20,231,Saturday
2014-07-05 21:00:00,2014-07-05,21,218,Saturday
2014-07-05 22:00:00,2014-07-05,22,274,Saturday
2014-07-05 23:00:00,2014-07-05,23,205,Saturday
2014-07-06 00:00:00,2014-07-06,0,147,Sunday
2014-07-06 01:00:00,2014-07-06,1,120,Sunday
2014-07-06 02:00:00,2014-07-06,2,134,Sunday
2014-07-06 03:00:00,2014-07-06,3,118,Sunday
2014-07-06 04:00:00,2014-07-06,4,35,Sunday
2014-07-06 05:00:00,2014-07-06,5,42,Sunday
2014-07-06 06:00:00,2014-07-06,6,42,Sunday
2014-07-06 07:00:00,2014-07-06,7,47,Sunday
2014-07-06 08:00:00,2014-07-06,8,82,Sunday
2014-07-06 09:00:00,2014-07-06,9,101,Sunday
2014-07-06 10:00:00,2014-07-06,10,137,Sunday
2014-07-06 11:00:00,2014-07-06,11,150,Sunday
2014-07-06 12:00:00,2014-07-06,12,148,Sunday
2014-07-06 13:00:00,2014-07-06,13,240,Sunday
2014-07-06 14:00:00,2014-07-06,14,219,Sunday
2014-07-06 15:00:00,2014-07-06,15,218,Sunday
2014-07-06 16:00:00,2014-07-06,16,220,Sunday
2014-07-06 17:00:00,2014-07-06,17,194,Sunday
2014-07-06 18:00:00,2014-07-06,18,193,Sunday
2014-07-06 19:00:00,2014-07-06,19,164,Sunday
2014-07-06 20:00:00,2014-07-06,20,192,Sunday
2014-07-06 21:00:00,2014-07-06,21,148,Sunday
2014-07-06 22:00:00,2014-07-06,22,127,Sunday
2014-07-06 23:00:00,2014-07-06,23,79,Sunday
2014-07-12 00:00:00,2014-07-12,0,574,Saturday
2014-07-12 01:00:00,2014-07-12,1,509,Saturday
2014-07-12 02:00:00,2014-07-12,2,354,Saturday
2014-07-12 03:00:00,2014-07-12,3,207,Saturday
2014-07-12 04:00:00,2014-07-12,4,86,Saturday
2014-07-12 05:00:00,2014-07-12,5,105,Saturday
2014-07-12 06:00:00,2014-07-12,6,120,Saturday
2014-07-12 07:00:00,2014-07-12,7,125,Saturday
2014-07-12 08:00:00,2014-07-12,8,189,Saturday
2014-07-12 09:00:00,2014-07-12,9,223,Saturday
2014-07-12 10:00:00,2014-07-12,10,287,Saturday
2014-07-12 11:00:00,2014-07-12,11,347,Saturday
2014-07-12 12:00:00,2014-07-12,12,361,Saturday
2014-07-12 13:00:00,2014-07-12,13,428,Saturday
2014-07-12 14:00:00,2014-07-12,14,537,Saturday
2014-07-12 15:00:00,2014-07-12,15,623,Saturday
2014-07-12 16:00:00,2014-07-12,16,657,Saturday
2014-07-12 17:00:00,2014-07-12,17,606,Saturday
2014-07-12 18:00:00,2014-07-12,18,632,Saturday
2014-07-12 19:00:00,2014-07-12,19,552,Saturday
2014-07-12 20:00:00,2014-07-12,20,567,Saturday
2014-07-12 21:00:00,2014-07-12,21,616,Saturday
2014-07-12 22:00:00,2014-07-12,22,729,Saturday
2014-07-12 23:00:00,2014-07-12,23,685,Saturday
2014-07-13 00:00:00,2014-07-13,0,638,Sunday
2014-07-13 01:00:00,2014-07-13,1,530,Sunday
2014-07-13 02:00:00,2014-07-13,2,396,Sunday
2014-07-13 03:00:00,2014-07-13,3,245,Sunday
2014-07-13 04:00:00,2014-07-13,4,99,Sunday
2014-07-13 05:00:00,2014-07-13,5,75,Sunday
2014-07-13 06:00:00,2014-07-13,6,63,Sunday
