,Date,Hour,Count,Weekday
2014-07-05 00:00:00,2014-07-05,0,2,Saturday
2014-07-05 01:00:00,2014-07-05,1,3,Saturday
2014-07-05 05:00:00,2014-07-05,5,3,Saturday
2014-07-05 06:00:00,2014-07-05,6,2,Saturday
2014-07-05 07:00:00,2014-07-05,7,3,Saturday
2014-07-05 09:00:00,2014-07-05,9,7,Saturday
2014-07-05 10:00:00,2014-07-05,10,2,Saturday
2014-07-05 11:00:00,2014-07-05,11,7,Saturday
2014-07-05 12:00:00,2014-07-05,12,6,Saturday
2014-07-05 13:00:00,2014-07-05,13,12,Saturday
2014-07-05 14:00:00,2014-07-05,14,10,Saturday
2014-07-05 15:00:00,2014-07-05,15,9,Saturday
2014-07-05 16:00:00,2014-07-05,16,7,Saturday
2014-07-05 17:00:00,2014-07-05,17,3,Saturday
2014-07-05 18:00:00,2014-07-05,18,6,Saturday
2014-07-05 19:00:00,2014-07-05,19,5,Saturday
2014-07-05 20:00:00,2014-07-05,20,5,Saturday
2014-07-05 21:00:00,2014-07-05,21,6,Saturday
2014-07-05 22:00:00,2014-07-05,22,6,Saturday
2014-07-05 23:00:00,2014-07-05,23,10,Saturday
2014-07-06 00:00:00,2014-07-06,0,3,Sunday
2014-07-06 01:00:00,2014-07-06,1,3,Sunday
2014-07-06 03:00:00,2014-07-06,3,2,Sunday
2014-07-06 05:00:00,2014-07-06,5,5,Sunday
2014-07-06 06:00:00,2014-07-06,6,4,Sunday
2014-07-06 07:00:00,2014-07-06,7,3,Sunday
2014-07-06 08:00:00,2014-07-06,8,6,Sunday
2014-07-06 09:00:00,2014-07-06,9,6,Sunday
2014-07-06 10:00:00,2014-07-06,10,8,Sunday
2014-07-06 11:00:00,2014-07-06,11,10,Sunday
2014-07-06 12:00:00,2014-07-06,12,15,Sunday
2014-07-06 13:00:00,2014-07-06,13,28,Sunday
2014-07-06 14:00:00,2014-07-06,14,28,Sunday
2014-07-06 15:00:00,2014-07-06,15,23,Sunday
2014-07-06 16:00:00,2014-07-06,16,21,Sunday
2014-07-06 17:00:00,2014-07-06,17,12,Sunday
2014-07-06 18:00:00,2014-07-06,18,19,Sunday
2014-07-06 19:00:00,2014-07-06,19,25,Sunday
2014-07-06 20:00:00,2014-07-06,20,26,Sunday
2014-07-06 21:00:00,2014-07-06,21,16,Sunday
2014-07-06 22:00:00,2014-07-06,22,28,Sunday
2014-07-06 23:00:00,2014-07-06,23,15,Sunday
2014-07-12 00:00:00,2014-07-12,0,6,Saturday
