,Date,Hour,Count,Weekday
2014-05-01 00:00:00,2014-05-01,0,22,Thursday
2014-05-01 01:00:00,2014-05-01,1,4,Thursday
2014-05-01 02:00:00,2014-05-01,2,6,Thursday
2014-05-01 03:00:00,2014-05-01,3,7,Thursday
2014-05-01 04:00:00,2014-05-01,4,8,Thursday
2014-05-01 05:00:00,2014-05-01,5,22,Thursday
2014-05-01 06:00:00,2014-05-01,6,21,Thursday
2014-05-01 07:00:00,2014-05-01,7,43,Thursday
2014-05-01 08:00:00,2014-05-01,8,33,Thursday
2014-05-01 09:00:00,2014-05-01,9,30,Thursday
2014-05-01 10:00:00,2014-05-01,10,35,Thursday
2014-05-01 11:00:00,2014-05-01,11,27,Thursday
2014-05-01 12:00:00,2014-05-01,12,35,Thursday
2014-05-01 13:00:00,2014-05-01,13,55,Thursday
2014-05-01 14:00:00,2014-05-01,14,50,Thursday
2014-05-01 15:00:00,2014-05-01,15,58,Thursday
2014-05-01 16:00:00,2014-05-01,16,79,Thursday
2014-05-01 17:00:00,2014-05-01,17,100,Thursday
2014-05-01 18:00:00,2014-05-01,18,86,Thursday
2014-05-01 19:00:00,2014-05-01,19,99,Thursday
2014-05-01 20:00:00,2014-05-01,20,124,Thursday
2014-05-01 21:00:00,2014-05-01,21,88,Thursday
2014-05-01 22:00:00,2014-05-01,22,64,Thursday
2014-05-01 23:00:00,2014-05-01,23,40,Thursday
2014-05-02 00:00:00,2014-05-02,0,8,Friday
2014-05-02 01:00:00,2014-05-02,1,4,Friday
2014-05-02 02:00:00,2014-05-02,2,8,Friday
2014-05-02 03:00:00,2014-05-02,3,6,Friday
2014-05-02 04:00:00,2014-05-02,4,9,Friday
2014-05-02 05:00:00,2014-05-02,5,9,Friday
2014-05-02 06:00:00,2014-05-02,6,32,Friday
2014-05-02 07:00:00,2014-05-02,7,42,Friday
2014-05-02 08:00:00,2014-05-02,8,29,Friday
2014-05-02 09:00:00,2014-05-02,9,56,Friday
2014-05-02 10:00:00,2014-05-02,10,58,Friday
2014-05-02 11:00:00,2014-05-02,11,53,Friday
2014-05-02 12:00:00,2014-05-02,12,39,Friday
2014-05-02 13:00:00,2014-05-02,13,60,Friday
2014-05-02 14:00:00,2014-05-02,14,59,Friday
2014-05-02 15:00:00,2014-05-02,15,56,Friday
2014-05-02 16:00:00,2014-05-02,16,72,Friday
2014-05-02 17:00:00,2014-05-02,17,57,Friday
2014-05-02 18:00:00,2014-05-02,18,62,Friday
2014-05-02 19:00:00,2014-05-02,19,40,Friday
2014-05-02 20:00:00,2014-05-02,20,59,Friday
2014-05-02 21:00:00,2014-05-02,21,59,Friday
2014-05-02 22:00:00,2014-05-02,22,62,Friday
2014-05-02 23:00:00,2014-05-02,23,44,Friday
2014-05-05 00:00:00,2014-05-05,0,6,Monday
2014-05-05 01:00:00,2014-05-05,1,7,Monday
2014-05-05 02:00:00,2014-05-05,2,2,Monday
2014-05-05 03:00:00,2014-05-05,3,3,Monday
2014-05-05 04:00:00,2014-05-05,4,13,Monday
2014-05-05 05:00:00,2014-05-05,5,24,Monday
2014-05-05 06:00:00,2014-05-05,6,38,Monday
2014-05-05 07:00:00,2014-05-05,7,41,Monday
2014-05-05 08:00:00,2014-05-05,8,75,Monday
2014-05-05 09:00:00,2014-05-05,9,62,Monday
2014-05-05 10:00:00,2014-05-05,10,72,Monday
2014-05-05 11:00:00,2014-05-05,11,41,Monday
2014-05-05 12:00:00,2014-05-05,12,31,Monday
2014-05-05 13:00:00,2014-05-05,13,44,Monday
2014-05-05 14:00:00,2014-05-05,14,40,Monday
2014-05-05 15:00:00,2014-05-05,15,55,Monday
2014-05-05 16:00:00,2014-05-05,16,59,Monday
2014-05-05 17:00:00,2014-05-05,17,54,Monday
2014-05-05 18:00:00,2014-05-05,18,29,Monday
2014-05-05 19:00:00,2014-05-05,19,54,Monday
2014-05-05 20:00:00,2014-05-05,20,50,Monday
2014-05-05 21:00:00,2014-05-05,21,34,Monday
2014-05-05 22:00:00,2014-05-05,22,27,Monday
2014-05-05 23:00:00,2014-05-05,23,14,Monday
2014-05-06 00:00:00,2014-05-06,0,9,Tuesday
2014-05-06 01:00:00,2014-05-06,1,3,Tuesday
2014-05-06 02:00:00,2014-05-06,2,2,Tuesday
2014-05-06 03:00:00,2014-05-06,3,5,Tuesday
2014-05-06 04:00:00,2014-05-06,4,12,Tuesday
2014-05-06 05:00:00,2014-05-06,5,24,Tuesday
2014-05-06 06:00:00,2014-05-06,6,37,Tuesday
2014-05-06 07:00:00,2014-05-06,7,48,Tuesday
2014-05-06 08:00:00,2014-05-06,8,50,Tuesday
2014-05-06 09:00:00,2014-05-06,9,46,Tuesday
2014-05-06 10:00:00,2014-05-06,10,48,Tuesday
2014-05-06 11:00:00,2014-05-06,11,39,Tuesday
2014-05-06 12:00:00,2014-05-06,12,53,Tuesday
2014-05-06 13:00:00,2014-05-06,13,44,Tuesday
2014-05-06 14:00:00,2014-05-06,14,36,Tuesday
2014-05-06 15:00:00,2014-05-06,15,61,Tuesday
2014-05-06 16:00:00,2014-05-06,16,62,Tuesday
2014-05-06 17:00:00,2014-05-06,17,46,Tuesday
2014-05-06 18:00:00,2014-05-06,18,61,Tuesday
2014-05-06 19:00:00,2014-05-06,19,62,Tuesday
2014-05-06 20:00:00,2014-05-06,20,45,Tuesday
2014-05-06 21:00:00,2014-05-06,21,59,Tuesday
2014-05-06 22:00:00,2014-05-06,22,22,Tuesday
2014-05-06 23:00:00,2014-05-06,23,21,Tuesday
2014-05-07 00:00:00,2014-05-07,0,5,Wednesday
2014-05-07 01:00:00,2014-05-07,1,4,Wednesday
2014-05-07 02:00:00,2014-05-07,2,3,Wednesday
2014-05-07 03:00:00,2014-05-07,3,9,Wednesday
2014-05-07 04:00:00,2014-05-07,4,10,Wednesday
2014-05-07 05:00:00,2014-05-07,5,12,Wednesday
2014-05-07 06:00:00,2014-05-07,6,31,Wednesday
2014-05-07 07:00:00,2014-05-07,7,32,Wednesday
2014-05-07 08:00:00,2014-05-07,8,39,Wednesday
2014-05-07 09:00:00,2014-05-07,9,59,Wednesday
2014-05-07 10:00:00,2014-05-07,10,56,Wednesday
2014-05-07 11:00:00,2014-05-07,11,38,Wednesday
2014-05-07 12:00:00,2014-05-07,12,48,Wednesday
2014-05-07 13:00:00,2014-05-07,13,51,Wednesday
2014-05-07 14:00:00,2014-05-07,14,61,Wednesday
2014-05-07 15:00:00,2014-05-07,15,64,Wednesday
2014-05-07 16:00:00,2014-05-07,16,78,Wednesday
2014-05-07 17:00:00,2014-05-07,17,60,Wednesday
2014-05-07 18:00:00,2014-05-07,18,62,Wednesday
2014-05-07 19:00:00,2014-05-07,19,74,Wednesday
2014-05-07 20:00:00,2014-05-07,20,53,Wednesday
2014-05-07 21:00:00,2014-05-07,21,50,Wednesday
2014-05-07 22:00:00,2014-05-07,22,38,Wednesday
2014-05-07 23:00:00,2014-05-07,23,10,Wednesday
2014-05-08 00:00:00,2014-05-08,0,6,Thursday
2014-05-08 01:00:00,2014-05-08,1,9,Thursday
2014-05-08 02:00:00,2014-05-08,2,6,Thursday
2014-05-08 03:00:00,2014-05-08,3,4,Thursday
2014-05-08 04:00:00,2014-05-08,4,20,Thursday
2014-05-08 05:00:00,2014-05-08,5,21,Thursday
2014-05-08 06:00:00,2014-05-08,6,33,Thursday
2014-05-08 07:00:00,2014-05-08,7,33,Thursday
2014-05-08 08:00:00,2014-05-08,8,49,Thursday
2014-05-08 09:00:00,2014-05-08,9,35,Thursday
2014-05-08 10:00:00,2014-05-08,10,29,Thursday
2014-05-08 11:00:00,2014-05-08,11,36,Thursday
2014-05-08 12:00:00,2014-05-08,12,63,Thursday
2014-05-08 13:00:00,2014-05-08,13,88,Thursday
2014-05-08 14:00:00,2014-05-08,14,95,Thursday
2014-05-08 15:00:00,2014-05-08,15,145,Thursday
2014-05-08 16:00:00,2014-05-08,16,144,Thursday
2014-05-08 17:00:00,2014-05-08,17,113,Thursday
2014-05-08 18:00:00,2014-05-08,18,110,Thursday
2014-05-08 19:00:00,2014-05-08,19,106,Thursday
2014-05-08 20:00:00,2014-05-08,20,103,Thursday
2014-05-08 21:00:00,2014-05-08,21,79,Thursday
2014-05-08 22:00:00,2014-05-08,22,68,Thursday
2014-05-08 23:00:00,2014-05-08,23,30,Thursday
2014-05-09 00:00:00,2014-05-09,0,11,Friday
2014-05-09 01:00:00,2014-05-09,1,6,Friday
2014-05-09 02:00:00,2014-05-09,2,2,Friday
2014-05-09 03:00:00,2014-05-09,3,5,Friday
2014-05-09 04:00:00,2014-05-09,4,11,Friday
2014-05-09 05:00:00,2014-05-09,5,19,Friday
2014-05-09 06:00:00,2014-05-09,6,39,Friday
2014-05-09 07:00:00,2014-05-09,7,29,Friday
2014-05-09 08:00:00,2014-05-09,8,36,Friday
2014-05-09 09:00:00,2014-05-09,9,35,Friday
2014-05-09 10:00:00,2014-05-09,10,44,Friday
2014-05-09 11:00:00,2014-05-09,11,43,Friday
2014-05-09 12:00:00,2014-05-09,12,31,Friday
2014-05-09 13:00:00,2014-05-09,13,52,Friday
2014-05-09 14:00:00,2014-05-09,14,73,Friday
2014-05-09 15:00:00,2014-05-09,15,99,Friday
2014-05-09 16:00:00,2014-05-09,16,89,Friday
2014-05-09 17:00:00,2014-05-09,17,116,Friday
2014-05-09 18:00:00,2014-05-09,18,82,Friday
2014-05-09 19:00:00,2014-05-09,19,48,Friday
2014-05-09 20:00:00,2014-05-09,20,61,Friday
2014-05-09 21:00:00,2014-05-09,21,70,Friday
2014-05-09 22:00:00,2014-05-09,22,62,Friday
