,Date,Hour,Count,Weekday
2014-05-03 00:00:00,2014-05-03,0,551,Saturday
2014-05-03 01:00:00,2014-05-03,1,330,Saturday
2014-05-03 02:00:00,2014-05-03,2,173,Saturday
2014-05-03 03:00:00,2014-05-03,3,137,Saturday
2014-05-03 04:00:00,2014-05-03,4,97,Saturday
2014-05-03 05:00:00,2014-05-03,5,65,Saturday
2014-05-03 06:00:00,2014-05-03,6,72,Saturday
2014-05-03 07:00:00,2014-05-03,7,94,Saturday
2014-05-03 08:00:00,2014-05-03,8,165,Saturday
2014-05-03 09:00:00,2014-05-03,9,174,Saturday
2014-05-03 10:00:00,2014-05-03,10,215,Saturday
2014-05-03 11:00:00,2014-05-03,11,224,Saturday
2014-05-03 12:00:00,2014-05-03,12,235,Saturday
2014-05-03 13:00:00,2014-05-03,13,335,Saturday
2014-05-03 14:00:00,2014-05-03,14,400,Saturday
2014-05-03 15:00:00,2014-05-03,15,581,Saturday
2014-05-03 16:00:00,2014-05-03,16,716,Saturday
2014-05-03 17:00:00,2014-05-03,17,596,Saturday
2014-05-03 18:00:00,2014-05-03,18,958,Saturday
2014-05-03 19:00:00,2014-05-03,19,710,Saturday
2014-05-03 20:00:00,2014-05-03,20,634,Saturday
2014-05-03 21:00:00,2014-05-03,21,847,Saturday
2014-05-03 22:00:00,2014-05-03,22,927,Saturday
2014-05-03 23:00:00,2014-05-03,23,803,Saturday
2014-05-04 00:00:00,2014-05-04,0,647,Sunday
2014-05-04 01:00:00,2014-05-04,1,354,Sunday
2014-05-04 02:00:00,2014-05-04,2,214,Sunday
2014-05-04 03:00:00,2014-05-04,3,132,Sunday
2014-05-04 04:00:00,2014-05-04,4,67,Sunday
2014-05-04 05:00:00,2014-05-04,5,42,Sunday
2014-05-04 06:00:00,2014-05-04,6,45,Sunday
2014-05-04 07:00:00,2014-05-04,7,66,Sunday
2014-05-04 08:00:00,2014-05-04,8,74,Sunday
2014-05-04 09:00:00,2014-05-04,9,110,Sunday
2014-05-04 10:00:00,2014-05-04,10,137,Sunday
2014-05-04 11:00:00,2014-05-04,11,165,Sunday
2014-05-04 12:00:00,2014-05-04,12,224,Sunday
2014-05-04 13:00:00,2014-05-04,13,239,Sunday
2014-05-04 14:00:00,2014-05-04,14,290,Sunday
2014-05-04 15:00:00,2014-05-04,15,374,Sunday
2014-05-04 16:00:00,2014-05-04,16,372,Sunday
2014-05-04 17:00:00,2014-05-04,17,339,Sunday
2014-05-04 18:00:00,2014-05-04,18,327,Sunday
2014-05-04 19:00:00,2014-05-04,19,254,Sunday
2014-05-04 20:00:00,2014-05-04,20,261,Sunday
2014-05-04 21:00:00,2014-05-04,21,250,Sunday
2014-05-04 22:00:00,2014-05-04,22,208,Sunday
2014-05-04 23:00:00,2014-05-04,23,97,Sunday
2014-05-10 00:00:00,2014-05-10,0,368,Saturday
2014-05-10 01:00:00,2014-05-10,1,293,Saturday
2014-05-10 02:00:00,2014-05-10,2,191,Saturday
2014-05-10 03:00:00,2014-05-10,3,128,Saturday
2014-05-10 04:00:00,2014-05-10,4,61,Saturday
2014-05-10 05:00:00,2014-05-10,5,69,Saturday
2014-05-10 06:00:00,2014-05-10,6,56,Saturday
2014-05-10 07:00:00,2014-05-10,7,105,Saturday
2014-05-10 08:00:00,2014-05-10,8,134,Saturday
2014-05-10 09:00:00,2014-05-10,9,190,Saturday
2014-05-10 10:00:00,2014-05-10,10,196,Saturday
2014-05-10 11:00:00,2014-05-10,11,221,Saturday
2014-05-10 12:00:00,2014-05-10,12,270,Saturday
2014-05-10 13:00:00,2014-05-10,13,384,Saturday
2014-05-10 14:00:00,2014-05-10,14,413,Saturday
2014-05-10 15:00:00,2014-05-10,15,637,Saturday
2014-05-10 16:00:00,2014-05-10,16,777,Saturday
2014-05-10 17:00:00,2014-05-10,17,727,Saturday
2014-05-10 18:00:00,2014-05-10,18,764,Saturday
2014-05-10 19:00:00,2014-05-10,19,624,Saturday
2014-05-10 20:00:00,2014-05-10,20,479,Saturday
2014-05-10 21:00:00,2014-05-10,21,509,Saturday
2014-05-10 22:00:00,2014-05-10,22,881,Saturday
2014-05-10 23:00:00,2014-05-10,23,1127,Saturday
2014-05-11 00:00:00,2014-05-11,0,764,Sunday
2014-05-11 01:00:00,2014-05-11,1,340,Sunday
2014-05-11 02:00:00,2014-05-11,2,187,Sunday
2014-05-11 03:00:00,2014-05-11,3,124,Sunday
2014-05-11 04:00:00,2014-05-11,4,61,Sunday
2014-05-11 05:00:00,2014-05-11,5,47,Sunday
