,Date,Hour,Count,Weekday
2014-04-01 00:00:00,2014-04-01,0,58,Tuesday
2014-04-01 01:00:00,2014-04-01,1,25,Tuesday
2014-04-01 02:00:00,2014-04-01,2,25,Tuesday
2014-04-01 03:00:00,2014-04-01,3,35,Tuesday
2014-04-01 04:00:00,2014-04-01,4,54,Tuesday
2014-04-01 05:00:00,2014-04-01,5,110,Tuesday
2014-04-01 06:00:00,2014-04-01,6,318,Tuesday
2014-04-01 07:00:00,2014-04-01,7,465,Tuesday
2014-04-01 08:00:00,2014-04-01,8,361,Tuesday
2014-04-01 09:00:00,2014-04-01,9,247,Tuesday
2014-04-01 10:00:00,2014-04-01,10,215,Tuesday
2014-04-01 11:00:00,2014-04-01,11,268,Tuesday
2014-04-01 12:00:00,2014-04-01,12,215,Tuesday
2014-04-01 13:00:00,2014-04-01,13,272,Tuesday
2014-04-01 14:00:00,2014-04-01,14,349,Tuesday
2014-04-01 15:00:00,2014-04-01,15,483,Tuesday
2014-04-01 16:00:00,2014-04-01,16,599,Tuesday
2014-04-01 17:00:00,2014-04-01,17,683,Tuesday
2014-04-01 18:00:00,2014-04-01,18,532,Tuesday
2014-04-01 19:00:00,2014-04-01,19,509,Tuesday
2014-04-01 20:00:00,2014-04-01,20,284,Tuesday
2014-04-01 21:00:00,2014-04-01,21,357,Tuesday
2014-04-01 22:00:00,2014-04-01,22,186,Tuesday
2014-04-01 23:00:00,2014-04-01,23,104,Tuesday
2014-04-02 00:00:00,2014-04-02,0,54,Wednesday
2014-04-02 01:00:00,2014-04-02,1,24,Wednesday
2014-04-02 02:00:00,2014-04-02,2,20,Wednesday
2014-04-02 03:00:00,2014-04-02,3,34,Wednesday
2014-04-02 04:00:00,2014-04-02,4,59,Wednesday
2014-04-02 05:00:00,2014-04-02,5,117,Wednesday
2014-04-02 06:00:00,2014-04-02,6,375,Wednesday
2014-04-02 07:00:00,2014-04-02,7,481,Wednesday
2014-04-02 08:00:00,2014-04-02,8,442,Wednesday
2014-04-02 09:00:00,2014-04-02,9,300,Wednesday
2014-04-02 10:00:00,2014-04-02,10,326,Wednesday
2014-04-02 11:00:00,2014-04-02,11,352,Wednesday
2014-04-02 12:00:00,2014-04-02,12,309,Wednesday
2014-04-02 13:00:00,2014-04-02,13,335,Wednesday
2014-04-02 14:00:00,2014-04-02,14,421,Wednesday
