,aic_sarima,mae_test_sarima,mae_train_sarima,mae_train_sarimax,mae_test_sarimax,aic_sarimax,label
0,30059.58835579485,441.9594204138166,351.5654028052649,351.8168016713318,385.22909053149556,30476.473688649967,0
1,30595.90493502413,434.0450553572319,352.65776839938445,352.66524131739766,465.29274044205016,30984.563114404686,0
2,31181.749105447594,421.5523777279031,356.6861213080955,357.21574580151304,372.4115021355861,31583.73090935118,0
3,31744.482122456655,423.26225251636487,358.4331414555967,358.65905902906684,435.72729642063285,32158.7516831428,0
4,32286.02134903156,398.4571889007023,361.5593902593266,362.2117668320762,395.23383497964863,32690.17143685944,0
5,32855.08840621312,465.3094686720631,363.1347580124842,363.79109098419804,471.61911563896706,33298.739581195885,0
6,33439.109373817955,441.80149436207154,366.8667005936686,367.7481486842184,471.7465598510602,33859.44774507079,0
7,33991.19106674087,395.51401505166865,370.41772836202847,371.80260582766954,329.19010140669536,34426.511777626365,0
8,34536.35240843316,391.4425977431551,370.33182735010337,371.478097125034,398.09783322978126,34981.0656642116,0
9,35085.10581789764,374.24530082085374,371.85039166057226,373.0741726202345,379.5654843695745,35517.501858540985,0
10,30059.58835579485,324.19169720657106,51.52751022782494,54.03277772453484,168.04601014159778,30476.473688649967,0
11,30595.90493502413,169.01720943783997,51.43898648351527,53.6099611791259,255.8914678983418,30984.563114404686,0
12,31181.749105447594,219.96383231840616,51.76164575189635,54.34844946643582,148.19525244814125,31583.73090935118,0
13,31744.482122456655,113.68138005381597,51.97122996828277,54.48822817407392,154.38539889292932,32158.7516831428,0
14,32286.02134903156,136.89711141842096,52.0113564333431,54.51566418981547,151.9411404170879,32690.17143685944,0
15,32855.08840621312,204.75023051588178,52.191742519185546,54.9802907936884,203.76110216532675,33298.739581195885,0
16,33439.109373817955,122.7381870795668,52.43139961189312,55.04914801127547,224.72354787918428,33859.44774507079,0
17,33991.19106674087,239.62760875870512,52.57242808611998,55.42260178902288,93.91480233730529,34426.511777626365,0
18,34536.35240843316,109.83238261246613,52.534610636948045,55.33259432582304,152.9869201361743,34981.0656642116,0
19,35085.10581789764,124.00320955071209,52.5110866761222,55.23670009385143,112.86465157967416,35517.501858540985,0
20,21070.51814444985,21.85767834207159,9.640248435511063,10.25981588922278,28.428956990184318,21565.240751657177,1
21,21506.62908158884,20.705438283583156,9.742357706885528,10.401955844385421,27.92631907497638,22027.993114986923,1
22,21952.359611820877,31.248688702381468,9.838132443210139,10.498670757827362,20.060966341975114,22476.37853232593,1
23,22427.72968136694,16.43844040564304,9.965691530243477,10.547415330868207,19.131800073577114,22911.61861542237,1
24,22830.854728624385,19.01852768279042,10.0045195824648,10.593866975289853,23.9705706483081,23317.498392188558,1
25,23250.255362733093,13.443375835466194,10.071901161081728,10.692671322694776,15.808058993234368,23745.284369114088,1
26,23641.08459159222,28.8641681867189,10.089628007363991,10.685061818890437,40.28069952055262,24129.856611004376,1
27,24074.4158536125,25.228980509055773,10.180217467593474,10.799485580534009,22.414723802769117,24584.018266169358,1
28,24478.926042616662,16.117585107387075,10.205745383990672,10.83461189021018,30.196855661238505,24987.46975902925,1
29,24917.722966277892,17.16798645855974,10.291288771973996,10.957539544265027,18.89868309536652,25457.922889015364,1
30,14935.621487284327,4.76680999363099,3.1813007135154328,3.167160248909696,5.623108683060628,15090.810441084486,2
31,15246.269732786874,4.5986880308380575,3.205328645759899,3.1913812417601997,4.6728278079010455,15400.670567060333,2
32,15554.859841304722,4.257319783158494,3.2227143870938852,3.2110465447317065,5.549163166122135,15716.821704834254,2
33,15848.71115578166,4.25820365070862,3.2329449200325566,3.2255484995112944,4.923732736783773,16020.509498607167,2
34,16155.545667955632,3.8377433027290238,3.244679300334577,3.242908671638221,5.609329078825811,16340.188674063229,2
35,16440.443273122946,2.9220134281890657,3.247815719099606,3.2586129929338483,3.7068898824400467,16645.738059019423,2
36,16698.324112075446,4.188024355505534,3.2380341006166042,3.257729915342101,5.374097753983121,16915.546102201773,2
37,17006.463255568597,3.9886357885553587,3.2552091996336956,3.3101986131054613,4.2943297902420055,17265.484530575894,2
38,17286.93586478763,4.673060358024443,3.257389133657605,3.2764710658259086,4.456223593021851,17508.581980108414,2
39,17597.391060913116,4.1005672969046865,3.2699983436236297,3.2883895683876916,5.246720341942428,17823.240655018275,2
40,19664.022567802625,32.936330647831795,7.428662100597665,8.022160657076723,22.930099103813106,20192.14538150248,3
41,20166.570609870374,8.475232936407137,7.582287421225006,8.142141395795214,13.867412500426155,20697.876756829333,3
42,20547.492983903157,14.775639473697622,7.597702455029578,8.184768967846068,12.658087410753206,21094.724304985095,3
43,20965.799736543504,11.423155254661518,7.671177259249814,8.246050692491204,12.643832212263812,21519.227465798,3
44,21343.166556657197,11.39748096899478,7.698747553344196,8.282715427761756,16.90571083587538,21908.448790508497,3
45,21712.03218649477,11.455098744149332,7.722354918880829,8.345911127178345,10.196754588485755,22303.59885771139,3
46,22065.997501945647,11.006156092290121,7.717829450097952,8.348567904068613,16.460999932341565,22671.407802928286,3
47,22450.524484225993,17.422935367272505,7.749351937485251,8.390821599225694,10.732407199265351,23068.159941581427,3
48,22802.19232174191,9.503399587846523,7.751345838090235,8.39920489426614,9.717736812940132,23435.138099577438,3
49,23175.20580160716,9.506911715380197,7.754029829018873,8.39200673531312,13.42721099936746,23793.502800490394,3
50,30322.383889741628,229.47711418620193,51.56170471021823,52.81516781487049,107.45445590229345,30694.838230333302,4
51,30857.200187414957,187.87176665234787,51.51299870215373,51.921270213349175,236.26261928718372,31152.518995699917,4
