,aic_sarima,mae_test_sarima,mae_train_sarima,mae_train_sarimax,mae_test_sarimax,aic_sarimax,label
0,18966.464706127226,453.28731603566973,54.76589146841703,56.51859828708915,157.40432631500457,19268.565610275407,0
1,20655.77071948294,91.88728594031477,54.54002016488223,58.48540960636995,123.40479666915454,21123.94118156381,0
2,22401.257175294064,88.57051619590342,54.46002961794989,58.21361864569554,115.34651900501008,22861.698870739132,0
3,24053.40222458514,76.70323913754052,53.491578688888715,57.317707561085534,108.79927357688636,24525.77015147738,0
4,25706.782279159022,85.68358544508108,52.78590066079097,55.29301175152143,102.82871813606069,26086.49409402468,0
5,27380.317410370495,146.21721340300815,52.55009917289352,56.65490481967711,105.06983772065917,27911.769090782866,0
6,29015.32804071999,116.61208257397294,51.702203352263176,56.569383687513046,106.0808780043781,29616.055007552124,0
7,30684.100471325168,125.07583579403415,51.409121648609954,55.248817983816906,191.86550467506865,31232.773425507243,0
8,32429.46472591831,144.39230197260213,52.00451853562529,56.008582529384526,183.35422682186118,33001.740327330655,0
9,34204.96099761489,100.69608269328761,52.59527512898233,55.51014826322737,151.2284870761116,34643.97981972275,0
10,12739.17809644988,14.680173305577334,8.636760031827446,8.688443485265315,26.978808215792057,12969.864102005296,1
11,14018.097876659245,13.34343484326211,8.816061260714758,9.101376454330858,24.126021890517094,14332.757400389288,1
12,15197.705009853522,13.25517125007774,8.846549119260542,9.269886429712994,21.692613754156394,15552.51273959153,1
13,16422.051172611147,13.574330206946678,8.998540632463612,9.496548655320133,25.926216593381707,16803.80705352744,1
14,17667.369243206944,15.096887731403497,9.143428833963418,9.61789366618192,24.923829606451697,18030.577272299215,1
15,18900.676200573693,12.099025922085746,9.252916234670609,9.7594741425329,25.99485121049545,19309.926113309233,1
16,20140.402930239077,25.601006817637447,9.364998854860456,9.984009981651123,41.103027510985086,20611.40455686071,1
17,21585.115338320153,28.016252750909523,9.758525582996802,10.4322149837963,24.696397539678294,22102.92464143582,1
18,22931.657371998568,19.482626410254596,9.998554351828613,10.609035745871413,31.828073527488364,23424.363717300635,1
19,24231.666879252865,20.6083497184098,10.191800536329785,10.856757067550754,29.194650693719172,24742.9893580383,1
20,9223.394231838189,4.112309869915859,3.0581980974384444,2.9827371854972062,4.428716394542516,9317.61612678881,2
21,10115.07780270993,3.343092309675298,3.113360974199787,3.052650640736987,3.850692220585809,10223.665944297103,2
22,10940.829974245511,3.2943929167259136,3.1125955675293735,3.100164872840051,3.6603876224797527,11078.956051451627,2
23,11763.806782908885,3.4869261848946587,3.106880056915909,3.091848341376279,4.219642528691547,11901.053732244509,2
24,12617.794192090223,3.484474516188606,3.1213298224513464,3.106619593575719,3.8186421728025253,12755.523974070482,2
